[1]t	 [2]tag	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]M20	 [7]M02	 [8]M11	 [9]a	 [10]b	 [11]c	 [12]e 
3.5 0 -0.962994 -0.499414 0.027881 0.0062428 0.00700432 -2.03291e-05 0.115096 0.118363 0.111734 0.32995 
3.5 1 0.963004 0.499412 0.0278856 0.00624282 0.0070043 2.02983e-05 0.115096 0.118362 0.111734 0.329941 
3.6 0 -0.963053 -0.499309 0.0287109 0.00629991 0.00706729 -5.87652e-06 0.115617 0.118889 0.112248 0.329537 
3.6 1 0.963063 0.499306 0.0287155 0.00629994 0.00706726 5.85827e-06 0.115617 0.118889 0.112249 0.329523 
3.7 0 -0.962637 -0.499376 0.0295039 0.00634099 0.00713066 -1.97061e-05 0.116067 0.119425 0.11261 0.332976 
3.7 1 0.962646 0.499374 0.0295083 0.00634103 0.00713063 1.97078e-05 0.116067 0.119425 0.11261 0.332963 
3.8 0 -0.961463 -0.49936 0.0301575 0.00637523 0.007174 -1.96746e-05 0.116401 0.119787 0.112914 0.33387 
3.8 1 0.961472 0.499358 0.030162 0.00637528 0.00717399 1.96895e-05 0.116401 0.119787 0.112914 0.333859 
3.9 0 -0.960504 -0.499318 0.0308559 0.00640989 0.0072244 -1.4628e-05 0.116766 0.120205 0.113222 0.335877 
3.9 1 0.960513 0.499317 0.0308604 0.00640993 0.0072244 1.4648e-05 0.116766 0.120205 0.113223 0.335869 
4 0 -0.960518 -0.499236 0.0316598 0.00645646 0.00729665 -1.9737e-05 0.117274 0.120807 0.113631 0.33951 
4 1 0.960526 0.499235 0.0316644 0.00645652 0.00729667 1.97556e-05 0.117274 0.120807 0.113631 0.339502 
4.1 0 -0.959547 -0.499169 0.0323263 0.00649728 0.0073385 -1.57628e-05 0.117626 0.121151 0.113991 0.338684 
4.1 1 0.959555 0.499168 0.0323312 0.00649735 0.00733852 1.57798e-05 0.117626 0.121151 0.113992 0.338674 
4.2 0 -0.959795 -0.499161 0.0331582 0.0065564 0.00740471 -1.54521e-05 0.118157 0.121696 0.114509 0.338578 
4.2 1 0.959803 0.499161 0.0331634 0.00655648 0.00740472 1.54722e-05 0.118158 0.121696 0.114509 0.338564 
4.3 0 -0.960074 -0.49916 0.0339785 0.00661626 0.00747057 -1.39955e-05 0.118688 0.122236 0.115031 0.338251 
4.3 1 0.960082 0.49916 0.033984 0.00661636 0.00747057 1.40292e-05 0.118688 0.122236 0.115032 0.338232 
4.4 0 -0.960854 -0.499091 0.0348427 0.00668686 0.00754273 -1.79403e-05 0.119288 0.122826 0.115642 0.336993 
4.4 1 0.960862 0.499092 0.0348487 0.00668697 0.00754273 1.79968e-05 0.119288 0.122826 0.115642 0.336971 
4.5 0 -0.961169 -0.499118 0.0356695 0.00674435 0.00761173 -2.54507e-05 0.119817 0.123389 0.116134 0.337843 
4.5 1 0.961176 0.499119 0.035676 0.00674445 0.00761172 2.55349e-05 0.119817 0.123389 0.116135 0.337823 
4.6 0 -0.960503 -0.499078 0.03637 0.00678788 0.00765902 -2.96895e-05 0.120195 0.123774 0.116506 0.337622 
4.6 1 0.96051 0.499079 0.0363771 0.00678797 0.00765903 2.98023e-05 0.120196 0.123774 0.116507 0.337609 
4.7 0 -0.960572 -0.499212 0.0370777 0.00684227 0.00772175 -2.16827e-05 0.120682 0.124276 0.116976 0.337678 
4.7 1 0.960579 0.499214 0.0370856 0.00684233 0.00772178 2.18148e-05 0.120682 0.124276 0.116977 0.337674 
4.8 0 -0.959905 -0.499101 0.0377722 0.00688848 0.00776515 -1.12461e-05 0.121052 0.124622 0.117374 0.336055 
4.8 1 0.959912 0.499103 0.0377808 0.0068885 0.0077652 1.13902e-05 0.121052 0.124622 0.117374 0.336061 
4.9 0 -0.959222 -0.499108 0.0384818 0.00692898 0.00781426 -1.06032e-05 0.121422 0.125015 0.117719 0.336632 
4.9 1 0.959228 0.499111 0.0384911 0.00692896 0.00781433 1.07468e-05 0.121422 0.125016 0.117719 0.336649 
5 0 -0.959272 -0.499041 0.0392527 0.00698651 0.0078718 -1.77701e-05 0.121895 0.125476 0.118205 0.335482 
5 1 0.959279 0.499044 0.0392627 0.00698642 0.00787189 1.7904e-05 0.121895 0.125477 0.118204 0.335517 
5.1 0 -0.958836 -0.499151 0.0399373 0.00703684 0.00791835 -2.18825e-05 0.122291 0.125848 0.118628 0.333848 
5.1 1 0.958843 0.499155 0.039948 0.00703673 0.00791845 2.19952e-05 0.122291 0.125849 0.118627 0.333888 
5.2 0 -0.958389 -0.499064 0.0407127 0.00707278 0.00798109 -8.90287e-06 0.122694 0.126342 0.118934 0.337385 
5.2 1 0.958397 0.499068 0.0407242 0.00707264 0.0079812 8.98311e-06 0.122694 0.126343 0.118933 0.337429 
5.3 0 -0.958199 -0.49904 0.0415409 0.00710907 0.00805298 -7.89425e-06 0.123134 0.12691 0.119239 0.342386 
5.3 1 0.958207 0.499045 0.0415531 0.00710892 0.00805309 7.94366e-06 0.123134 0.126911 0.119238 0.342431 
5.4 0 -0.95777 -0.499043 0.0423299 0.00714057 0.00812038 -1.09231e-05 0.123535 0.12744 0.119503 0.347402 
5.4 1 0.957779 0.499049 0.0423428 0.00714041 0.00812047 1.0943e-05 0.123535 0.127441 0.119501 0.347445 
5.5 0 -0.958579 -0.498923 0.0432181 0.00719579 0.00820971 -1.45258e-05 0.124119 0.12814 0.119963 0.351496 
5.5 1 0.958588 0.498928 0.0432317 0.00719563 0.00820979 1.45247e-05 0.124119 0.128141 0.119962 0.351537 
5.6 0 -0.957936 -0.498916 0.0438972 0.00724187 0.00825068 -1.15251e-05 0.124469 0.128459 0.120347 0.349715 
5.6 1 0.957945 0.498922 0.0439114 0.00724171 0.00825075 1.15061e-05 0.124469 0.128459 0.120346 0.349753 
5.7 0 -0.95753 -0.49897 0.0446601 0.00728047 0.00830952 -1.9774e-05 0.12486 0.128918 0.120666 0.35203 
5.7 1 0.95754 0.498977 0.0446749 0.00728032 0.00830957 1.97381e-05 0.124859 0.128918 0.120664 0.352063 
5.8 0 -0.956874 -0.499019 0.0453782 0.00731544 0.00836198 -2.95255e-05 0.12521 0.129328 0.120951 0.354035 
5.8 1 0.956884 0.499026 0.0453937 0.0073153 0.00836201 2.94768e-05 0.125209 0.129328 0.12095 0.354063 
5.9 0 -0.956207 -0.49893 0.0460375 0.00735472 0.0084088 -2.82608e-05 0.125553 0.129689 0.121276 0.354294 
5.9 1 0.956217 0.498937 0.0460536 0.00735458 0.00840882 2.81968e-05 0.125552 0.129689 0.121275 0.354317 
6 0 -0.955285 -0.498866 0.0466748 0.00739298 0.00844585 -2.48017e-05 0.125852 0.129973 0.121593 0.353259 
6 1 0.955295 0.498873 0.0466914 0.00739286 0.00844585 2.4733e-05 0.125852 0.129973 0.121592 0.353277 
6.1 0 -0.955092 -0.49888 0.0474682 0.00743491 0.00850886 -2.35436e-05 0.126269 0.130456 0.121938 0.355427 
6.1 1 0.955103 0.498887 0.0474855 0.00743482 0.00850884 2.34689e-05 0.126268 0.130456 0.121937 0.355439 
6.2 0 -0.954904 -0.498851 0.0481965 0.00748501 0.00856217 -1.13344e-05 0.126677 0.130861 0.122351 0.354726 
6.2 1 0.954914 0.498857 0.0482142 0.00748494 0.00856214 1.12586e-05 0.126677 0.130861 0.12235 0.354733 
6.3 0 -0.954225 -0.498803 0.048923 0.00751406 0.00861921 -4.10162e-06 0.127017 0.131295 0.122589 0.358081 
6.3 1 0.954358 0.498829 0.0489641 0.00751591 0.00862209 7.42586e-06 0.127035 0.131318 0.122604 0.358201 
6.4 0 -0.954041 -0.49887 0.0497493 0.00754723 0.00869178 -1.67987e-05 0.127432 0.131849 0.122857 0.362954 
6.4 1 0.954052 0.498876 0.0497683 0.00754719 0.00869173 1.67359e-05 0.127432 0.131848 0.122857 0.362953 
6.5 0 -0.954366 -0.498843 0.0505604 0.00759494 0.00876876 -2.61913e-05 0.127921 0.132434 0.123242 0.366044 
6.5 1 0.954378 0.498849 0.0505799 0.00759492 0.00876871 2.6138e-05 0.12792 0.132433 0.123242 0.36604 
6.6 0 -0.954209 -0.498763 0.0513725 0.00763184 0.00883727 -1.8195e-05 0.128332 0.132948 0.123544 0.369405 
6.6 1 0.95422 0.498767 0.0513927 0.00763184 0.00883722 1.81564e-05 0.128332 0.132947 0.123544 0.3694 
6.7 0 -0.953809 -0.49876 0.0520589 0.00767176 0.00889162 -3.34342e-05 0.128699 0.133361 0.123862 0.370654 
6.7 1 0.95382 0.498764 0.0520796 0.00767176 0.00889159 3.34142e-05 0.128699 0.13336 0.123862 0.370649 
6.8 0 -0.953408 -0.498824 0.0528111 0.00770894 0.00894889 -4.12754e-05 0.129065 0.133793 0.124158 0.372617 
6.8 1 0.95342 0.498828 0.0528323 0.00770895 0.00894887 4.12731e-05 0.129065 0.133793 0.124158 0.372614 
6.9 0 -0.952511 -0.498832 0.0534875 0.00773464 0.00899782 -4.51532e-05 0.129354 0.13416 0.124363 0.375128 
6.9 1 0.952522 0.498835 0.0535092 0.00773464 0.00899782 4.51684e-05 0.129354 0.13416 0.124363 0.375128 
7 0 -0.951604 -0.498801 0.0541578 0.00776164 0.00904466 -4.00334e-05 0.129639 0.134506 0.124582 0.376975 
7 1 0.951615 0.498802 0.05418 0.00776164 0.00904469 4.00579e-05 0.129639 0.134506 0.124582 0.376979 
7.1 0 -0.950933 -0.498706 0.0548496 0.00779909 0.00908936 -2.70854e-05 0.129956 0.134833 0.124888 0.376923 
7.1 1 0.950944 0.498707 0.0548721 0.00779906 0.00908942 2.71155e-05 0.129956 0.134833 0.124888 0.376934 
7.2 0 -0.950755 -0.498605 0.055621 0.00784076 0.00915018 -2.15307e-05 0.130349 0.135281 0.125223 0.378385 
7.2 1 0.950766 0.498605 0.0556439 0.00784072 0.00915027 2.15556e-05 0.130349 0.135282 0.125223 0.378402 
7.3 0 -0.951067 -0.498576 0.0564009 0.00790789 0.00920261 -1.93087e-05 0.130807 0.135668 0.125759 0.375165 
7.3 1 0.951078 0.498575 0.0564241 0.00790783 0.00920273 1.93262e-05 0.130807 0.135669 0.125758 0.375188 
7.4 0 -0.950903 -0.49862 0.0571996 0.00797218 0.00923676 -2.42033e-05 0.131183 0.135921 0.126267 0.370136 
7.4 1 0.950914 0.498618 0.057223 0.00797211 0.00923689 2.42093e-05 0.131183 0.135922 0.126267 0.370163 
7.5 0 -0.950749 -0.498726 0.0579529 0.00801542 0.00929615 -2.83462e-05 0.131573 0.136358 0.126608 0.371343 
7.5 1 0.95076 0.498723 0.0579765 0.00801533 0.00929631 2.83301e-05 0.131574 0.136359 0.126607 0.371375 
7.6 0 -0.951105 -0.498645 0.0588624 0.00805294 0.00938507 -2.24988e-05 0.132053 0.137007 0.126906 0.376852 
7.6 1 0.951116 0.498641 0.0588862 0.00805284 0.00938525 2.24522e-05 0.132053 0.137008 0.126905 0.376886 
7.7 0 -0.950981 -0.49868 0.0595565 0.0081047 0.00943572 -3.41051e-05 0.13244 0.13738 0.127309 0.375811 
7.7 1 0.950991 0.498676 0.0595804 0.0081046 0.00943589 3.40284e-05 0.132441 0.137381 0.127309 0.375845 
7.8 0 -0.950612 -0.49865 0.0602786 0.00814026 0.00949382 -4.42431e-05 0.132793 0.137806 0.127584 0.377963 
7.8 1 0.950622 0.498646 0.0603026 0.00814015 0.00949398 4.41474e-05 0.132794 0.137807 0.127583 0.377994 
7.9 0 -0.949996 -0.498663 0.0610045 0.00819134 0.00952253 -5.03341e-05 0.133093 0.138018 0.12798 0.374386 
7.9 1 0.949762 0.4986 0.0610381 0.00818 0.00952474 5.24347e-05 0.133059 0.138035 0.12789 0.376274 
8 0 -0.949627 -0.498653 0.0617188 0.00823486 0.00957113 -4.31524e-05 0.133439 0.138366 0.128324 0.374012 
8 1 0.949636 0.498648 0.0617427 0.00823478 0.00957122 4.30204e-05 0.133439 0.138366 0.128323 0.374032 
8.1 0 -0.949257 -0.498583 0.0624714 0.00826913 0.00963019 -3.5718e-05 0.133788 0.138788 0.128594 0.376182 
8.1 1 0.949265 0.498578 0.0624953 0.00826907 0.00963025 3.55791e-05 0.133788 0.138789 0.128593 0.376196 
8.2 0 -0.948887 -0.498548 0.0632071 0.00831075 0.00968065 -2.76259e-05 0.134132 0.139149 0.12892 0.376319 
8.2 1 0.948895 0.498543 0.0632309 0.00831071 0.00968067 2.74809e-05 0.134132 0.139149 0.12892 0.376326 
8.3 0 -0.948516 -0.498606 0.0639573 0.00834549 0.00973877 -3.4841e-05 0.134478 0.139568 0.129187 0.37846 
8.3 1 0.948524 0.498601 0.0639811 0.00834546 0.00973876 3.47044e-05 0.134478 0.139568 0.129187 0.378461 
8.4 0 -0.948149 -0.498463 0.0646714 0.0083902 0.00978491 -1.71453e-05 0.134815 0.139894 0.129538 0.377594 
8.4 1 0.948157 0.498458 0.0646951 0.00839018 0.00978486 1.70148e-05 0.134815 0.139893 0.129537 0.37759 
8.5 0 -0.94803 -0.498616 0.0654466 0.0084346 0.00984262 -3.95884e-05 0.135193 0.140312 0.129873 0.3785 
8.5 1 0.948038 0.498612 0.0654702 0.00843459 0.00984254 3.94851e-05 0.135193 0.140311 0.129873 0.378492 
8.6 0 -0.946928 -0.498613 0.0660497 0.00846007 0.00987665 -3.97557e-05 0.135413 0.140554 0.130069 0.378993 
8.6 1 0.946934 0.498609 0.0660733 0.00846006 0.00987653 3.96679e-05 0.135413 0.140553 0.130069 0.378981 
