,id,bubble_lifetime,bubble_radius,d1_radius,d1_velocity,t_d1,ndrops,solution,delta_gamma_infinity,beta,delta_gamma_infinity_tanh,beta_tanh,surface_tension,clean_surface_tension,bo,la,lad1,ca,t_d1_over_tcap
19,250320_152727,6.925,0.001021273591913001,9.386357414372526e-05,1.8805269561217504,0.0027,1.0,0gly_10tx,0.58,0.4192306002828689,0.52,0.313479381311596,0.0488841,0.072,0.14321387269196448,77051.01562303273,7081.6319691912295,0.025613997865744382,0.6992535379627278
20,250320_152836,7.4,0.0009891249855084,9.917573242129608e-05,1.7440017758414188,0.0028,1.0,0gly_10tx,0.58,0.4192306002828689,0.52,0.313479381311596,0.0488841,0.072,0.13433934590623497,74625.53160586579,7482.413105292515,0.02375443628650883,0.7607909435900123
21,250320_152951,7.925,0.0009891249855084,9.17457319630329e-05,1.7363812844198685,0.0027,1.0,0gly_10tx,0.58,0.4192306002828689,0.52,0.313479381311596,0.0488841,0.072,0.13433934590623497,74625.53160586579,6921.84923100647,0.023650640246589222,0.7336198384617977
22,250320_153119,7.55,0.001021273591913001,0.000103683124255,1.6732884599382811,0.0029,1.0,0gly_10tx,0.58,0.4192306002828689,0.52,0.313479381311596,0.0488841,0.072,0.14321387269196448,77051.01562303273,7822.4778258022325,0.02279127502113774,0.7510500963303371
23,250320_153230,5.925,0.0009891249855084,9.826683680165952e-05,1.794631378162434,0.0026999999999999,1.0,0gly_10tx,0.58,0.4192306002828689,0.52,0.313479381311596,0.0488841,0.072,0.13433934590623497,74625.53160586579,7413.840559068986,0.024444044335769896,0.7336198384617705
24,250320_153336,2.525,0.0009891249855084,9.887369555415134e-05,1.7960136652661796,0.0027,1.0,0gly_10tx,0.58,0.4192306002828689,0.52,0.313479381311596,0.0488841,0.072,0.13433934590623497,74625.53160586579,7459.625629386564,0.024462871983419364,0.7336198384617977
25,250320_153429,7.325,0.0009891249855084,0.0001023141731822,1.7147943194856203,0.0026999999999999,1.0,0gly_10tx,0.58,0.4192306002828689,0.52,0.313479381311596,0.0488841,0.072,0.13433934590623497,74625.53160586579,7719.195932162055,0.023356611771244182,0.7336198384617705
26,250320_153607,6.35,0.0009891249855084,0.0001039711906445,1.6874639794004485,0.0027,1.0,0gly_10tx,0.58,0.4192306002828689,0.52,0.313479381311596,0.0488841,0.072,0.13433934590623497,74625.53160586579,7844.211284939523,0.02298435479809482,0.7336198384617977
27,250320_153720,7.725,0.001021273591913001,0.0001038478314665,1.683871632963419,0.0028,1.0,0gly_10tx,0.58,0.4192306002828689,0.52,0.313479381311596,0.0488841,0.072,0.14321387269196448,77051.01562303273,7834.904327404747,0.022935424707690347,0.7251518171465325
28,250320_153826,0.95,0.0009891249855084,0.0001145680081148,1.5394110950200717,0.0028,3.0,0gly_10tx,0.58,0.4192306002828689,0.52,0.313479381311596,0.0488841,0.072,0.13433934590623497,74625.53160586579,8643.69886096613,0.02096777840593448,0.7607909435900123
