[1]t	 [2]tag	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]M20	 [7]M02	 [8]M11	 [9]a	 [10]b	 [11]c	 [12]e 
0.55 18 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.55 19 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.55 20 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.55 21 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.55 22 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.55 23 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.55 24 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.55 25 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.55 26 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.55 27 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.55 28 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.55 29 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.55 30 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.55 31 -1.92159 3.63973 -0.963081 0.0131975 0.0254175 0.0152673 0.196507 0.267403 0.0756696 0.959126 
0.55 32 112.65 1.73332 1.58361 0.0554191 0.0565328 0.00146134 0.334592 0.339234 0.329885 0.233146 
0.55 33 -18.9132 3.15214 2.39306 0.203654 0.229412 -0.170066 0.658078 0.87987 0.303251 0.93873 
0.6 0 139.479 -0.746682 -1.22141 0.0595699 0.0545499 0.0021539 0.337816 0.347469 0.327879 0.331026 
0.6 1 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.6 2 -7.4641 0.107627 -0.303381 0.229329 0.052447 -0.0192841 0.530826 0.680305 0.317393 0.884498 
0.6 3 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.6 4 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.6 5 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.6 6 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.6 7 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.6 8 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.6 9 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.6 10 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.6 11 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
