[1]t	 [2]tag	 [3]Atot	 [4]Gamma	 [5]mu_x	 [6]mu_y	 [7]mu_z	 [8]M20	 [9]M02	 [10]M11	 [11]a	 [12]b	 [13]c	 [14]e	 [15]maxvor 
13.5 1 0.7880859375 1.00021488981023 0.283718426791704 0.405666125536311 -3.00934778145093e-07 0.00569193699670162 0.00585656782135663 0.000185300988723573 0.107463969859941 0.109334478104412 0.105560321777419 0.26047482766993 18.4212065625213 
13.5 2 62.427490234375 0.000697625971842115 32.140069556473 -31.0565526835049 0.0126534171776385 -1028.85000633376 -963.458607384593 995.977484106184 -nan 0.84816962643235 -nan -nan 1e+30 
13.55 0 0.784423828125 1.00039607277174 -0.290676427323963 -0.413014956954767 1.12160249212772e-07 0.0057980467141779 0.00601582130822797 0.000212730311945151 0.108691618915195 0.110868501511651 0.106470237237327 0.278869523088539 18.5311273155226 
13.55 1 0.7862548828125 1.00021473473751 0.277457355824603 0.410001322038245 -2.90515585014281e-07 0.00568447790453354 0.00586292156506094 0.000180829472673028 0.10745882685752 0.109319189262284 0.105565684757055 0.259791532365254 18.4080454848195 
13.55 2 62.4293212890625 0.000611599654810118 36.8804836457882 -35.4272028714211 0.0324094267589213 -1355.98191471214 -1254.1659457467 1304.09806999786 -nan 0.186586220206483 -nan -nan 1e+30 
13.6 0 0.787109375 1.00041314565683 -0.284446592191907 -0.417275631361049 1.38496313399787e-07 0.00579908952519495 0.00602980646186533 0.000209259884717357 0.108760728146975 0.110936002773435 0.106541049660556 0.27868354656582 18.4864623598148 
13.6 1 0.7874755859375 1.00021880353033 0.271134721173058 0.414242024688609 -1.97823299035612e-07 0.00567825665512601 0.00586795010072763 0.00017422465013604 0.107453277082896 0.109283777832685 0.105591047983831 0.257757219079181 18.4148287619365 
13.6 2 62.4254150390625 0.00064070333071627 35.285675824486 -33.6928571602239 0.0483964238549929 -1241.07882282425 -1133.4903565535 1186.87295632277 -nan 1.27030329555929 -nan -nan 1e+30 
13.65 0 0.785888671875 1.0004122002173 -0.278156726594442 -0.421446590580986 2.97651120381542e-07 0.00579723033978357 0.00604308132060024 0.000207686502286717 0.108813196168405 0.111008959207633 0.106572202268723 0.279888743932599 18.4522786117377 
13.65 1 0.783447265625 1.00022474721717 0.264747396949759 0.418392562556856 -2.72212882879258e-07 0.00567408490629823 0.00587147634858486 0.000168749644016477 0.107450273405344 0.109254501519624 0.105615228104023 0.255950287254141 18.3663824352707 
13.65 2 62.4306640625 0.000622161339650699 36.6625119903412 -35.1776024346914 0.0750937364752081 -1340.18658842642 -1236.4456114052 1287.55704776314 -nan 0.755447965058579 -nan -nan 1e+30 
13.7 0 0.7833251953125 1.00042121823181 -0.271811410856427 -0.425521043183808 1.74024239902816e-07 0.00579869527049967 0.00605489025557568 0.000203547046639791 0.108874172906504 0.111061181408482 0.106642322913105 0.279270760819249 18.4493556585257 
13.7 1 0.783447265625 1.00021400490917 0.258304155223905 0.422439088080867 -2.52406281152196e-07 0.00566545654019838 0.0058748656933386 0.000162209856310836 0.107425891820999 0.109208320972671 0.105613385029569 0.254465511067563 18.3739810857147 
13.7 2 62.4332275390625 0.000592252782763797 38.4553829296833 -36.8353689495666 0.0760888725038728 -1475.51162609375 -1355.87549733593 1414.26180229303 -nan -nan -nan -nan 1e+30 
13.75 0 0.7835693359375 1.000432486277 -0.265402752527037 -0.429493022621069 2.24520694624026e-07 0.00579986898968264 0.00606788091743326 0.000200275488949119 0.108939202801911 0.111129183484784 0.106704284788555 0.279373909910757 18.4302091596423 
13.75 1 0.7838134765625 1.0002081854595 0.251797879475812 0.426392213768182 -3.57351180292984e-07 0.00565987549041438 0.00587610694527096 0.000155001564737347 0.107405690890592 0.109151033065392 0.105631514483739 0.251891362410067 18.3239300463528 
13.75 2 62.4326171875 0.000823365314746721 27.6454819156518 -26.7143962890899 0.0229048909709146 -760.776209452464 -712.180036019009 737.089540440581 -nan 1.42253367098862 -nan -nan 1e+30 
13.8 0 0.7823486328125 1.0004347027977 -0.258931997701437 -0.433377044382957 2.65990078804681e-07 0.00579752259649763 0.00608223607563446 0.000195306228034322 0.108994305686729 0.111189575683524 0.10675390205319 0.279632507718555 18.4292898391154 
13.8 1 0.782958984375 1.00021175607324 0.245233645865055 0.430241976584326 -4.13064692965603e-07 0.0056545246738733 0.00587834600954866 0.000148596656125249 0.107391203938786 0.109109664433113 0.105644793975555 0.250006543264291 18.3380644621084 
13.8 2 62.4346923828125 0.000659396897891005 34.9017086262422 -33.3892777755531 0.0649188893447332 -1214.62070935535 -1113.90628457983 1162.52188403903 -nan -nan -nan -nan 1e+30 
13.85 0 0.787109375 1.00043760636652 -0.252404843084593 -0.437152534875716 1.56111012864391e-07 0.00579748773352264 0.00609435555266974 0.000190296370386573 0.109049728501232 0.111240840920722 0.106813678354579 0.279306483868863 18.3678856618162 
13.85 1 0.7850341796875 1.00020743943346 0.238613617875122 0.433986012215771 -3.44804668298669e-07 0.00564835253607038 0.00587978174949472 0.000143274881950413 0.10736914959878 0.109070934302959 0.1056399539067 0.248843968785587 18.2986853289699 
13.85 2 62.4278564453125 0.000788852716938829 29.0360043669911 -28.1766591976486 0.0144183030961516 -839.345832463783 -792.191577703969 816.190286940644 -nan 1.23454020150995 -nan -nan 1e+30 
13.9 0 0.7860107421875 1.00045726680821 -0.245817975290788 -0.440827182617353 2.85282455928805e-07 0.00579879708422932 0.00610909269629307 0.000186581801025964 0.10912327790404 0.111324789183591 0.106876428057237 0.279857352645004 18.3590487207491 
13.9 1 0.785400390625 1.00021717320376 0.231934400495531 0.437636663697463 -3.41165206564624e-07 0.00564427551440417 0.0058809124007912 0.000137573865812604 0.107355427972671 0.109032551995111 0.105651684491182 0.247091597257326 18.2644176504481 
13.9 2 62.4285888671875 0.000665881016534301 34.6871505091681 -33.7081381220479 0.0370316927558812 -1199.32850051352 -1134.92564351372 1167.18379807319 -nan 1.00084374155103 -nan -nan 1e+30 
13.95 0 0.78369140625 1.00046428701548 -0.239186763993122 -0.444408408181401 1.91720667190988e-07 0.00579959215110043 0.00612185986203978 0.000181687071645111 0.109185402014831 0.111387362637405 0.106938110470326 0.279807785405764 18.3579680212492 
13.95 1 0.783935546875 1.00020852652946 0.225201741729458 0.441181024796233 -3.2507088319721e-07 0.00563835928759451 0.0058798733056776 0.000132429038118361 0.107323029184198 0.108980145065005 0.105639922227133 0.245683223820322 18.2728340107374 
13.95 2 62.432373046875 0.000718197645552542 32.2098229803878 -31.2114930709077 -0.00892333891826528 -1033.55819534158 -971.978444418239 1003.20681836712 -nan 1.34972611129919 -nan -nan 1e+30 
14 0 0.7862548828125 1.0004576377787 -0.232501103408997 -0.447886094307002 1.20218749688298e-07 0.00579903021646136 0.00613243711146404 0.000178186385287955 0.109231256185789 0.111442745265471 0.106974058460667 0.280337489993008 18.3234676854386 
14 1 0.783447265625 1.00022071947376 0.218422492807841 0.444620283518383 -3.14222748903889e-07 0.00563594991690314 0.00587957929244202 0.000126475401062957 0.10731043383262 0.108934504532968 0.105661403269345 0.24329040224724 18.2451785100498 
14 2 62.4302978515625 0.000724029986263918 32.1757400192964 -31.1580942048837 0.0372581182408303 -1031.50826918942 -968.928356373155 1000.63556089581 -nan 1.34636424346515 -nan -nan 1e+30 
14.05 0 0.7830810546875 1.00046951987489 -0.225761979828973 -0.451266068781107 2.93160686959961e-07 0.00580126449469573 0.00614417713180175 0.000172192477730386 0.109295204041611 0.111496347608309 0.107048810002737 0.279620989018189 18.3291274247877 
14.05 1 0.78564453125 1.00021177699068 0.211593988234578 0.447957635477039 -2.78039652386159e-07 0.00563061196199215 0.00587702357814548 0.000122117376251789 0.107273647929665 0.108878732217241 0.105644179920342 0.241936211255157 18.2534706314911 
14.05 2 62.4312744140625 0.000662637917330484 34.8942684305641 -34.3308948986289 0.0382537877770793 -1214.44121055106 -1176.65486503024 1195.6489491708 -nan 0.707351811658173 -nan -nan 1e+30 
14.1 0 0.7850341796875 1.00047635100662 -0.218966899227328 -0.454542515987514 2.76501105484888e-07 0.00580395571730049 0.00615490605869566 0.000167711324019054 0.109356580853628 0.111554134623855 0.107113951473723 0.279323498279902 18.2683708179039 
14.1 1 0.783447265625 1.00023018110705 0.204712420800023 0.451187967143018 -2.08679629689765e-07 0.00562788714952799 0.00587759482980576 0.00011650809324513 0.107263609762742 0.108844031957336 0.105659550755897 0.240122025857521 18.1899164627022 
14.1 2 62.4315185546875 0.000752909695750818 30.8257489306031 -30.0930159034892 0.0178648876528637 -946.906321839535 -903.315658058471 925.528644918709 -nan 1.16124865278582 -nan -nan 1e+30 
14.15 0 0.785400390625 1.00050113219785 -0.212132426087922 -0.457715690485577 2.49017218313526e-07 0.00580885349402493 0.00616666817304556 0.000162555648203007 0.109432726672922 0.111619786007398 0.107201057391258 0.278581211642179 18.2855858395925 
14.15 1 0.7835693359375 1.00024427656485 0.197785343798719 0.454318471955508 -2.40635984072449e-07 0.00562551416596877 0.00587674998745755 0.000112552646760414 0.107248609097863 0.108809901210595 0.105664249892729 0.238712056039592 18.1885971898715 
14.15 2 62.4310302734375 0.000622066774706527 37.4214755741439 -36.8254373739166 -0.000419695334952949 -1397.08693229845 -1354.13004088909 1375.22913303899 -nan -nan -nan -nan 1e+30 
14.2 0 0.7857666015625 1.00051685175982 -0.205256609306188 -0.460781127341263 3.63645678936247e-07 0.00581261336678732 0.0061780160585996 0.00015834485969217 0.109501732522307 0.111687823950829 0.107271099704918 0.278436161453769 18.2516250011929 
14.2 1 0.7845458984375 1.00024628561357 0.19081706008281 0.457345323186826 -3.38732580124445e-07 0.00562119231147662 0.00587455952545806 0.000107110277680536 0.107218243955657 0.10875450806043 0.105659645325939 0.23686459627377 18.1600977066828 
14.2 2 62.4296875 0.000576760188040426 40.3760460560308 -40.0141730106459 0.00879152367635853 -1626.16788828738 -1599.27234026936 1612.57445080859 -nan -nan -nan -nan 1e+30 
14.25 0 0.7843017578125 1.00051653695162 -0.198331317907159 -0.463746131571407 3.86612656913349e-07 0.00581435345949057 0.00618761069333839 0.000153802261063722 0.109553476224303 0.111739156752788 0.107323292690048 0.278346925052594 18.2414165712255 
14.25 1 0.7838134765625 1.00024167755542 0.183805603922545 0.460263411591211 -3.79295065663792e-07 0.00561507569160936 0.00587204517877698 0.000102449813038399 0.107177986874107 0.10870041643625 0.105633617789785 0.235861465556289 18.1639804534521 
14.25 2 62.431884765625 0.000559076386959102 41.6880400188275 -41.2704877025641 0.0475365780041873 -1734.34682016601 -1701.52340406425 1717.18643414557 -nan -nan -nan -nan 1e+30 
14.3 0 0.784912109375 1.00052675991308 -0.191358954547357 -0.466604266193687 4.17595664360783e-07 0.00581758210100695 0.00619817764011551 0.000150232359835933 0.10961642094651 0.111806367743034 0.10738182161965 0.278532834733276 18.2067110123518 
14.3 1 0.7841796875 1.00024073788384 0.176753565270377 0.463072854005175 -3.22447921960925e-07 0.00560971183639113 0.00586944287890557 9.71741252247768e-05 0.107140817223394 0.108644137896911 0.105616100719684 0.234447224391619 18.1395350534987 
14.3 2 62.430908203125 0.000593065230244923 39.5557259451499 -39.0050421395275 0.0203969076127819 -1561.0615214941 -1519.77074051985 1540.29906777175 -nan 0.206352817909819 -nan -nan 1e+30 
14.35 0 0.7867431640625 1.00052465214403 -0.184348663890694 -0.469352436884207 2.93617484530388e-07 0.00581864558238699 0.00620849657191137 0.000146449736926361 0.109668327945211 0.111869400649798 0.107422164876955 0.279154562214081 18.1817102103519 
14.35 1 0.78564453125 1.00026146916404 0.169656130787415 0.465780271760877 -3.87366603616531e-07 0.00560694517460469 0.00586926279964316 9.22008788885453e-05 0.107127064620701 0.108613328123596 0.105619888763489 0.233155419890481 18.1083986750733 
