[1]t	 [2]j	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]M20	 [7]M02	 [8]M11	 [9]a	 [10]b	 [11]c	 [12]e	 [13]maxvor 
2.65 0 0.960255 -0.347507 -0.359876 0.00499684 0.00502173 0.000236444 0.100093 0.102431 0.0976986 0.300444 27.0983
2.65 1 0.960184 0.346895 0.359554 0.0049974 0.00502347 0.000236996 0.100104 0.102448 0.0977044 0.300764 27.0732
2.7 0 0.960167 -0.342019 -0.36509 0.0050057 0.00503389 0.000236658 0.100198 0.102537 0.097803 0.300329 27.0084
2.7 1 0.960096 0.341358 0.364752 0.00500302 0.00503905 0.000238795 0.10021 0.102572 0.0977912 0.301738 26.9966
2.75 0 0.959854 -0.33646 -0.370281 0.00501606 0.00503778 0.000236269 0.100269 0.102601 0.0978816 0.299787 26.9476
2.75 1 0.95978 0.335807 0.369906 0.00501003 0.00504603 0.000236465 0.10028 0.102618 0.0978865 0.300137 26.9239
2.8 0 0.959794 -0.330853 -0.37527 0.0050055 0.00507036 0.000238852 0.100379 0.102752 0.0979478 0.302195 26.8752
2.8 1 0.959776 0.330219 0.374907 0.00500503 0.00507486 0.000240475 0.100399 0.102791 0.0979485 0.303303 26.8523
2.85 0 0.959832 -0.325058 -0.380333 0.00501478 0.00508545 0.00023648 0.1005 0.102852 0.0980919 0.300686 26.811
2.85 1 0.959761 0.324392 0.379954 0.00501648 0.00508577 0.00023507 0.10051 0.102847 0.0981174 0.299758 26.8061
2.9 0 0.95988 -0.319285 -0.38513 0.00502719 0.00509868 0.000244212 0.100627 0.103051 0.098144 0.304904 26.7319
2.9 1 0.959812 0.318577 0.384752 0.0050263 0.00510131 0.000240557 0.100636 0.103027 0.098187 0.302897 26.7143
2.95 0 0.96018 -0.313411 -0.390006 0.00503188 0.00512569 0.000239953 0.100785 0.103182 0.0983289 0.303082 26.6545
2.95 1 0.959801 0.312698 0.389574 0.0050302 0.00512005 0.000235465 0.100748 0.1031 0.0983403 0.300342 26.6355
3 0 0.959674 -0.307457 -0.394703 0.00502655 0.00514 0.000239023 0.100829 0.103237 0.0983627 0.303643 26.6206
3 1 0.959418 0.306751 0.394241 0.0050222 0.0051408 0.000236259 0.100812 0.1032 0.0983658 0.302467 26.5975
3.05 0 0.959193 -0.301429 -0.399308 0.00502008 0.00515601 0.00024061 0.100877 0.103325 0.0983669 0.306066 26.5362
3.05 1 0.959244 0.300734 0.398865 0.00502481 0.00515687 0.00024133 0.100904 0.103354 0.0983935 0.306087 26.526
3.1 0 0.959409 -0.29539 -0.403925 0.00503656 0.00516865 0.000234626 0.101021 0.103406 0.0985785 0.301963 26.458
3.1 1 0.959514 0.294624 0.403466 0.0050324 0.00518087 0.000240221 0.101061 0.103519 0.0985414 0.306352 26.4513
3.15 0 0.959702 -0.289219 -0.40826 0.00504668 0.00519136 0.000241739 0.101183 0.103647 0.0986579 0.30652 26.3902
3.15 1 0.959507 0.288458 0.407823 0.00504382 0.00519263 0.0002415 0.101175 0.103643 0.0986461 0.306757 26.3719
3.2 0 0.95927 -0.282999 -0.412716 0.00504012 0.00520866 0.000237784 0.101236 0.103698 0.0987129 0.306335 26.3215
3.2 1 0.959309 0.282255 0.412251 0.00504464 0.0052093 0.000237725 0.101262 0.103716 0.098746 0.305857 26.3037
3.25 0 0.959322 -0.276741 -0.4169 0.00503972 0.00523342 0.000229774 0.101356 0.103787 0.0988658 0.304292 26.2822
3.25 1 0.959245 0.275971 0.416389 0.00503824 0.0052371 0.000231935 0.101367 0.103827 0.0988465 0.306 26.254
3.3 0 0.959064 -0.270365 -0.421078 0.00504414 0.00524513 0.00023229 0.101436 0.103901 0.0989094 0.306234 26.1978
3.3 1 0.958926 0.269606 0.420524 0.00504153 0.00524862 0.000237443 0.10144 0.103963 0.0988538 0.309623 26.1919
3.35 0 0.959599 -0.263948 -0.425128 0.00505407 0.00527486 0.000234397 0.101631 0.104149 0.0990492 0.309101 26.142
3.35 1 0.959093 0.263166 0.424597 0.00504655 0.00527192 0.000234775 0.10158 0.104112 0.098983 0.310002 26.127
3.4 0 0.959035 -0.257503 -0.429073 0.00505794 0.00527743 0.000231077 0.101663 0.104149 0.0991148 0.307141 26.0533
3.4 1 0.959076 0.256706 0.428542 0.00505763 0.00528264 0.000225241 0.101687 0.104134 0.0991802 0.304752 26.0406
3.45 0 0.958842 -0.250958 -0.432924 0.00504993 0.00530316 0.000224065 0.10175 0.104249 0.0991885 0.307774 26.0092
3.45 1 0.959185 0.250204 0.432412 0.00506039 0.00530676 0.000223399 0.101819 0.104295 0.099282 0.30629 25.9888
3.5 0 0.958839 -0.24438 -0.436702 0.00505419 0.00532245 0.000224043 0.101866 0.104398 0.0992693 0.309572 25.9306
3.5 1 0.958813 0.243613 0.43611 0.0050563 0.00532391 0.000223799 0.101883 0.104411 0.0992911 0.309309 25.9147
3.55 0 0.959025 -0.237767 -0.440409 0.00505877 0.00534636 0.000218684 0.102006 0.10454 0.0994066 0.309507 25.8975
3.55 1 0.958565 0.23694 0.439829 0.00505572 0.00533978 0.000214295 0.101958 0.104449 0.0994049 0.307019 25.8697
3.6 0 0.95888 -0.231029 -0.443881 0.00506289 0.00536161 0.000217744 0.1021 0.104655 0.0994807 0.310536 25.8208
3.6 1 0.958858 0.230231 0.443317 0.00506335 0.00536456 0.000214549 0.102117 0.104653 0.0995171 0.309414 25.8141
3.65 0 0.958863 -0.224273 -0.447416 0.00506872 0.00537817 0.000211049 0.10221 0.104739 0.0996168 0.308898 25.756
3.65 1 0.95847 0.223445 0.446861 0.00506253 0.00537707 0.000208381 0.102174 0.104698 0.0995865 0.30865 25.746
3.7 0 0.95855 -0.217466 -0.450708 0.00507346 0.00538728 0.000207856 0.102278 0.104793 0.0996989 0.307996 25.6873
3.7 1 0.958528 0.216672 0.45012 0.00507098 0.00539411 0.000212467 0.102299 0.104876 0.0996557 0.31156 25.6844
3.75 0 0.959081 -0.210656 -0.454014 0.00507959 0.00542081 0.000205363 0.102471 0.105045 0.099832 0.311102 25.6161
3.75 1 0.95887 0.209858 0.453376 0.00507956 0.00541887 0.000205545 0.102462 0.105031 0.0998268 0.310867 25.6027
3.8 0 0.958411 -0.203755 -0.457171 0.00507823 0.00542485 0.000197309 0.102485 0.105016 0.0998892 0.308628 25.5774
3.8 1 0.958564 0.202912 0.456515 0.00508225 0.00542991 0.00019906 0.102529 0.105075 0.099918 0.30943 25.5602
3.85 0 0.958335 -0.196874 -0.460214 0.00507421 0.00545098 0.000195007 0.102592 0.105202 0.0999145 0.313043 25.4942
3.85 1 0.958608 0.195992 0.45955 0.00508572 0.00545138 0.000196498 0.10265 0.105233 0.100002 0.311366 25.4819
3.9 0 0.958443 -0.189818 -0.463154 0.00508293 0.0054689 0.000193357 0.102722 0.105348 0.100027 0.313785 25.4491
3.9 1 0.958296 0.188983 0.462454 0.00508206 0.00546905 0.000187297 0.102719 0.105308 0.100063 0.311664 25.4276
3.95 0 0.958146 -0.18278 -0.465968 0.00509073 0.00547446 0.000185186 0.102787 0.105349 0.100159 0.31001 25.4
3.95 1 0.957813 0.18196 0.465304 0.00508861 0.00547055 0.000184052 0.102758 0.105307 0.100143 0.309301 25.3885
4 0 0.958371 -0.175687 -0.468698 0.00509234 0.00550341 0.000177963 0.102936 0.105544 0.10026 0.312452 25.3352
4 1 0.958233 0.174852 0.467958 0.00509352 0.00550182 0.000178951 0.102934 0.105538 0.100262 0.312239 25.3156
4.05 0 0.958051 -0.168602 -0.471294 0.00509629 0.00551303 0.000173595 0.103002 0.105602 0.100334 0.311895 25.2828
4.05 1 0.957909 0.167788 0.470599 0.00509358 0.00551562 0.000175864 0.103001 0.105634 0.100299 0.313799 25.2733
4.1 0 0.957965 -0.161391 -0.473796 0.00510104 0.00552949 0.000172314 0.103104 0.105737 0.100403 0.313624 25.2183
4.1 1 0.95759 0.160532 0.473076 0.00510176 0.00552003 0.00016523 0.103062 0.105617 0.100443 0.309152 25.2269
4.15 0 0.958085 -0.154219 -0.476281 0.00510787 0.00554942 0.000164894 0.103234 0.10587 0.100529 0.313592 25.1418
4.15 1 0.957459 0.15333 0.475492 0.00509814 0.00554393 0.000162795 0.10316 0.105802 0.100449 0.314051 25.1424
4.2 0 0.958075 -0.147028 -0.478487 0.00511744 0.00556249 0.000159471 0.103344 0.10596 0.10066 0.312305 25.087
4.2 1 0.95776 0.146116 0.477728 0.00510893 0.00556525 0.000158298 0.103316 0.10597 0.100592 0.314508 25.0814
4.25 0 0.957925 -0.139753 -0.480633 0.00511956 0.00557938 0.000150422 0.103436 0.106059 0.100744 0.312572 25.045
4.25 1 0.957984 0.13888 0.479835 0.00512298 0.00558089 0.000153264 0.103459 0.106089 0.100761 0.31292 25.0357
4.3 0 0.957799 -0.132477 -0.48284 0.00512775 0.00559014 0.000145494 0.103527 0.106133 0.100854 0.311452 24.9646
4.3 1 0.957902 0.131594 0.482016 0.00512824 0.00559594 0.000141907 0.103558 0.106166 0.100882 0.311567 24.9663
4.35 0 0.957981 -0.125148 -0.484702 0.00513077 0.00561629 0.000136409 0.103668 0.10632 0.100946 0.313902 24.9037
4.35 1 0.957973 0.124294 0.483921 0.00513619 0.00561319 0.000137614 0.103679 0.106302 0.100988 0.3122 24.8987
4.4 0 0.957901 -0.117813 -0.486515 0.0051397 0.00562791 0.000129328 0.103767 0.106396 0.10107 0.31243 24.8561
4.4 1 0.957594 0.116954 0.485678 0.00513653 0.00562464 0.000130229 0.103736 0.106369 0.101034 0.312726 24.8448
4.45 0 0.95757 -0.110441 -0.488337 0.00513951 0.00564165 0.000119977 0.103832 0.106479 0.101117 0.313324 24.8179
4.45 1 0.957512 0.10953 0.48738 0.00514462 0.00563719 0.000123897 0.103835 0.106457 0.101146 0.311937 24.8009
4.5 0 0.957691 -0.10303 -0.489991 0.0051451 0.0056634 0.000115991 0.103964 0.10666 0.101196 0.31596 24.7455
4.5 1 0.957622 0.102154 0.489093 0.00514493 0.00566431 0.000118443 0.103967 0.106678 0.101185 0.316741 24.7452
4.55 0 0.957264 -0.0956152 -0.491467 0.00515068 0.00566734 0.000109613 0.10401 0.106674 0.101276 0.314078 24.6859
4.55 1 0.95744 0.0947584 0.490565 0.00515001 0.00567659 0.000110171 0.104051 0.106759 0.101271 0.316491 24.6801
4.6 0 0.956946 -0.0881961 -0.492833 0.00515083 0.00568102 0.000101337 0.104076 0.106768 0.101313 0.315571 24.6348
4.6 1 0.957131 0.0872881 0.491948 0.00515776 0.00568197 0.000105377 0.104114 0.106793 0.101364 0.31477 24.6227
4.65 0 0.95675 -0.0807644 -0.49411 0.00515436 0.00569494 9.29975e-05 0.10416 0.106869 0.101379 0.316401 24.5887
4.65 1 0.956934 0.0797944 0.493202 0.00516229 0.00569436 9.37683e-05 0.104195 0.106868 0.101452 0.314313 24.5718
4.7 0 0.956924 -0.0732759 -0.495335 0.00515981 0.00571864 9.03748e-05 0.1043 0.107078 0.101445 0.320078 24.5482
4.7 1 0.956916 0.07234 0.494377 0.00516891 0.00571058 8.78953e-05 0.104305 0.107 0.101538 0.315405 24.527
4.75 0 0.957098 -0.0657248 -0.496391 0.00516861 0.00573838 7.88883e-05 0.104437 0.10723 0.101567 0.320679 24.5021
4.75 1 0.957092 0.064855 0.495454 0.0051725 0.00573626 7.9158e-05 0.104445 0.107212 0.101603 0.319198 24.4855
4.8 0 0.95709 -0.0581714 -0.497307 0.00517674 0.0057531 6.83155e-05 0.104546 0.107341 0.101673 0.320651 24.4415
4.8 1 0.957027 0.057318 0.496358 0.00517663 0.00575346 6.80131e-05 0.104547 0.107344 0.101673 0.320727 24.4383
4.85 0 0.956954 -0.0506329 -0.498093 0.00518309 0.00576578 5.8894e-05 0.104637 0.10744 0.101757 0.320936 24.3869
4.85 1 0.957021 0.0497994 0.497155 0.00518634 0.00576648 6.26565e-05 0.104656 0.107454 0.101781 0.320635 24.3808
4.9 0 0.956635 -0.0430933 -0.498831 0.00518795 0.00577427 5.14146e-05 0.104701 0.107506 0.101818 0.320954 24.3291
4.9 1 0.956826 0.0422292 0.497799 0.005191 0.00577912 5.54609e-05 0.104738 0.107557 0.101841 0.321663 24.3248
4.95 0 0.956623 -0.0355922 -0.499465 0.00520013 0.00578443 4.20823e-05 0.104807 0.107587 0.101952 0.319378 24.2719
4.95 1 0.956566 0.0346808 0.498364 0.00519584 0.00578951 4.37189e-05 0.104811 0.107636 0.101908 0.321854 24.2729
5 0 0.956552 -0.0280132 -0.499935 0.00520892 0.00579651 3.55158e-05 0.104907 0.107691 0.102047 0.319483 24.2158
5 1 0.956489 0.0271372 0.498848 0.00520313 0.00580307 3.62453e-05 0.10491 0.107752 0.10199 0.322639 24.2206
5.05 0 0.956418 -0.020461 -0.50027 0.00521831 0.00580592 3.00951e-05 0.104996 0.107773 0.102145 0.318925 24.1604
5.05 1 0.956109 0.0195653 0.499218 0.00520559 0.00581221 2.38812e-05 0.104966 0.107825 0.102026 0.323536 24.1721
