[1]t	 [2]tag	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]mu_z	 [7]M20	 [8]M02	 [9]M11	 [10]a	 [11]b	 [12]c	 [13]e 
0.68 2 0.288244 0.000835566 6.94065 1.96249 0.00361961 0.000899492 -1.13734e-05 0.0672242 0.0850841 0.0424133 0.866897 
0.7 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.7 1 0.804698 0.000137728 7.12809 0.884114 0.00422749 0.00440552 5.2038e-05 0.092914 0.0940172 0.0917975 0.216011 
0.7 2 0.273083 0.0012191 6.94424 1.96545 0.00386814 0.000797768 3.58521e-05 0.0683074 0.0879608 0.0399337 0.891005 
0.72 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.72 1 0.797505 5.27173e-06 7.12525 0.887689 0.00420784 0.00436377 0.000116824 0.092583 0.0940878 0.0910533 0.251919 
0.72 2 0.259471 0.000868567 6.94751 1.96614 0.0037135 0.000798392 8.30431e-06 0.0671706 0.0861803 0.0399592 0.886008 
0.74 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.74 1 0.795891 -5.61e-06 7.12291 0.890384 0.00418721 0.00439503 0.000121282 0.0926404 0.0943486 0.0909001 0.267892 
0.74 2 0.240383 0.000905955 6.9484 1.96907 0.00382965 0.000664273 3.07444e-05 0.0670367 0.0875208 0.036441 0.909195 
0.76 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.76 1 0.794009 1.61111e-05 7.12142 0.893104 0.00429007 0.00431041 2.22718e-05 0.0927387 0.0930024 0.0924743 0.106409 
0.76 2 0.221754 0.000958518 6.95036 1.97233 0.00400192 0.000495396 -1.4143e-05 0.0670621 0.0894649 0.031475 0.93607 
0.78 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.78 1 0.802475 -1.82841e-07 7.11955 0.895933 0.00434849 0.00443152 -3.62313e-05 0.0937017 0.094288 0.0931118 0.157459 
0.78 2 0.214295 0.000966175 6.9515 1.97254 0.00401932 0.000491303 -7.20828e-06 0.0671612 0.0896586 0.0313461 0.936893 
0.8 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.8 1 0.800696 3.52026e-06 7.11869 0.901075 0.00435241 0.00445003 -1.03505e-05 0.0938213 0.0943516 0.093288 0.149728 
