[1]t	 [2]tag	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]mu_z	 [7]M20	 [8]M02	 [9]M11	 [10]a	 [11]b	 [12]c	 [13]e 
0.7 0 0.759115 6.51224 0.000409828 0.260207 0.00417773 0.00414533 -0.000152873 0.0912308 0.0929006 0.0895299 0.266925 
0.7 1 0.79019 7.4917 -2.42195e-06 0.0160388 0.00422599 0.00415616 -0.000287599 0.091554 0.0946655 0.088333 0.359601 
0.72 0 0.777263 6.51251 0.000107528 0.26642 0.00431692 0.00431933 -0.000101761 0.0929314 0.0940201 0.0918298 0.214593 
0.72 1 0.788545 7.49142 -3.22471e-06 0.0162661 0.00423124 0.00416459 -0.000287987 0.0916288 0.0947399 0.0884083 0.359441 
0.74 0 0.769484 6.51381 -0.00029907 0.271905 0.00423391 0.00432683 -1.65101e-05 0.0925243 0.0930556 0.0919899 0.150913 
0.74 1 0.786885 7.49114 -4.04887e-06 0.0164948 0.00423632 0.00417271 -0.000288157 0.0917008 0.0948096 0.0884829 0.359176 
0.76 0 0.756487 6.51402 -0.000282525 0.277937 0.00413853 0.00428618 -9.60221e-05 0.0917862 0.0930965 0.090457 0.236433 
0.76 1 0.785208 7.49085 -4.88942e-06 0.0167252 0.00424126 0.00418053 -0.000288131 0.0917703 0.0948749 0.088557 0.358817 
0.78 0 0.754758 6.5136 -1.46268e-05 0.286677 0.00415066 0.00430387 -0.000109564 0.0919485 0.0933911 0.0904829 0.24761 
0.78 1 0.788502 7.4913 0.00012409 0.0174994 0.00430658 0.00420759 -0.000222669 0.0922722 0.094712 0.0897661 0.318926 
0.8 0 0.759205 6.51435 -7.56732e-05 0.2958 0.00408973 0.00447007 -6.64593e-05 0.0925191 0.0946715 0.0903155 0.299843 
0.8 1 0.786783 7.49101 0.000123451 0.0177339 0.00431182 0.00421454 -0.000222183 0.0923383 0.0947695 0.0898414 0.318272 
0.82 0 0.759795 6.51606 0.000131938 0.304107 0.00414392 0.0044029 -4.04104e-05 0.092449 0.0939049 0.0909699 0.248057 
0.82 1 0.785041 7.4907 0.000122756 0.0179709 0.00431694 0.00422117 -0.000221527 0.0924019 0.094823 0.0899156 0.317532 
0.84 0 0.767862 6.51784 0.000113365 0.309032 0.00426512 0.00445086 -4.83286e-05 0.0933594 0.0944741 0.0922312 0.216605 
0.84 1 0.788198 7.49113 -6.9143e-06 0.0187375 0.0043814 0.00424523 -0.00015754 0.0928796 0.0947094 0.0910131 0.276646 
0.86 0 0.769344 6.51921 -5.91508e-05 0.313114 0.00438354 0.00440811 -0.000114384 0.0937638 0.0949828 0.0925288 0.225846 
0.86 1 0.786399 7.49083 -7.85915e-06 0.0189786 0.00438674 0.00425094 -0.000156547 0.0929391 0.0947574 0.0910846 0.275712 
0.88 0 0.776365 6.51986 0.000240051 0.320997 0.00448902 0.0045308 -0.000146797 0.0949727 0.0965214 0.0933984 0.252315 
0.88 1 0.789351 7.49098 0.000115489 0.0199755 0.00440091 0.0043236 -9.69301e-05 0.0934051 0.0945157 0.0922811 0.216161 
0.9 0 0.779223 6.52162 0.00011206 0.329129 0.004623 0.00448644 -0.000195314 0.0954434 0.0975871 0.0932504 0.294797 
0.9 1 0.792975 7.48878 0.000255895 0.0223336 0.00449335 0.00434508 -0.000171803 0.0940129 0.0959826 0.0920011 0.28503 
0.92 0 0.78442 6.52222 -0.000192411 0.338121 0.00463332 0.00457947 -5.50864e-05 0.0959833 0.09662 0.0953423 0.162086 
0.92 1 0.810336 7.48568 -0.000232807 0.0228876 0.00460846 0.00455469 6.81093e-05 0.0957243 0.0964862 0.0949563 0.177373 
0.94 0 0.775972 6.52437 9.9099e-06 0.34674 0.00459893 0.00442655 -5.10474e-05 0.0950025 0.0960511 0.0939422 0.208402 
0.94 1 0.814117 7.48455 -0.000358306 0.0236575 0.00468088 0.00457308 6.29637e-06 0.0961975 0.09676 0.0956317 0.15227 
0.96 0 0.774397 6.52662 -2.66465e-05 0.350683 0.00459215 0.00442873 -5.796e-05 0.0949783 0.0960272 0.0939176 0.208459 
0.96 1 0.81276 7.48418 -0.000356802 0.0239298 0.0046872 0.00458014 6.06236e-06 0.096267 0.0968251 0.0957058 0.151613 
0.98 0 0.770602 6.52691 -6.7474e-05 0.355104 0.00453881 0.00448665 4.27282e-05 0.0950024 0.0955279 0.094474 0.148128 
0.98 1 0.806521 7.48331 -0.000234104 0.0249656 0.00467921 0.00451729 6.99387e-05 0.0958984 0.0970076 0.0947762 0.21325 
1 0 0.777763 6.52586 0.000244553 0.362933 0.00464933 0.00460866 -7.53241e-05 0.0962184 0.0970259 0.0954041 0.182074 
1 1 0.804908 7.48175 1.37938e-06 0.025032 0.00462739 0.00457227 0.000190117 0.0959149 0.0978972 0.0938906 0.283158 
1.02 0 0.7855 6.52817 1.20961e-05 0.372111 0.00458833 0.00483244 -1.44295e-05 0.0970606 0.0983187 0.095786 0.225517 
1.02 1 0.803591 7.48139 3.94682e-07 0.025294 0.00463262 0.00457946 0.000189144 0.0959796 0.0979494 0.0939685 0.282194 
1.04 0 0.782329 6.52993 -7.19255e-05 0.38144 0.00462341 0.00471713 -0.000113486 0.0966465 0.0979086 0.0953676 0.226345 
1.04 1 0.802238 7.48102 -6.1549e-07 0.0255595 0.00463752 0.00458641 0.000188156 0.0960413 0.0979984 0.0940434 0.281226 
1.06 0 0.773761 6.52955 -0.000121553 0.388089 0.00465373 0.00452124 -0.000121601 0.0957861 0.097221 0.0943293 0.242078 
1.06 1 0.800845 7.48064 -1.67248e-06 0.0258294 0.00464208 0.00459301 0.000187167 0.0960994 0.098044 0.0941146 0.280268 
1.08 0 0.767243 6.53098 -2.89615e-05 0.392911 0.00455182 0.00454011 4.98903e-06 0.0953516 0.0954322 0.0952709 0.0581257 
1.08 1 0.79941 7.48027 -2.75609e-06 0.0261011 0.00464632 0.00459933 0.000186171 0.0961543 0.0980864 0.0941826 0.279314 
1.1 0 0.76967 6.53353 0.000346726 0.399427 0.00447038 0.0047445 -2.29139e-05 0.0959942 0.097431 0.0945355 0.241981 
1.1 1 0.79793 7.47989 -3.85465e-06 0.0263747 0.00465023 0.00460539 0.000185178 0.0962061 0.0981258 0.0942473 0.278369 
1.12 0 0.776218 6.53614 -0.000116312 0.405478 0.00449467 0.00486427 2.78976e-05 0.0967416 0.0986545 0.09479 0.277147 
1.12 1 0.796411 7.4795 -4.99571e-06 0.0266488 0.00465381 0.00461116 0.000184214 0.0962547 0.0981624 0.0943085 0.277454 
1.14 0 0.780339 6.53622 9.65101e-06 0.413048 0.00453103 0.00493508 -6.04618e-05 0.0972939 0.0994378 0.0951018 0.292077 
1.14 1 0.794893 7.47912 -6.15784e-06 0.0269215 0.0046566 0.00461613 0.000183232 0.096295 0.0981907 0.0943612 0.276551 
1.16 0 0.776725 6.5363 -9.00792e-05 0.421809 0.00459115 0.00481309 -0.000213645 0.0969754 0.099427 0.0944603 0.312109 
1.16 1 0.79797 7.47781 0.000112216 0.0271533 0.00477615 0.0045949 0.000187444 0.0968042 0.0989316 0.094629 0.291702 
1.18 0 0.775517 6.53621 -0.00012592 0.428052 0.00456644 0.00484379 -0.000188149 0.0970063 0.0993866 0.0945662 0.307653 
1.18 1 0.800987 7.47649 -7.002e-06 0.0273925 0.00489415 0.00457368 0.00019213 0.0973028 0.0998408 0.0946967 0.316845 
1.2 0 0.769521 6.53699 -2.28219e-05 0.43343 0.00464728 0.00468232 -6.62266e-05 0.0965898 0.0972965 0.095878 0.170134 
1.2 1 0.799464 7.47607 -8.20366e-06 0.027661 0.00489917 0.00457763 0.000192038 0.0973489 0.0998884 0.0947412 0.316865 
