[1]t	 [2]ekin	 [3]enstrophy	 [4]helicity 
12.180000 984.433815 3928.57272 34.7823513 
12.200000 984.402813 3926.28635 34.7816437 
12.220000 984.371696 3924.0043 34.7809247 
12.240000 984.340704 3921.72664 34.7802612 
12.260000 984.309715 3919.45339 34.7795373 
12.280000 984.278827 3917.18447 34.778865 
12.300000 984.247898 3914.91996 34.7781509 
12.320000 984.21702 3912.65974 34.7774326 
12.340000 984.186112 3910.40382 34.7767394 
12.360000 984.155399 3908.1522 34.7760149 
12.380000 984.12457 3905.90489 34.7753108 
12.400000 984.093936 3903.66181 34.7746036 
12.420000 984.063218 3901.423 34.7738917 
12.440000 984.032553 3899.18842 34.773168 
12.460000 984.001919 3896.95811 34.7724757 
12.480000 983.971442 3894.73201 34.7717358 
12.500000 983.940899 3892.51012 34.7710332 
12.520000 983.910436 3890.29244 34.7703272 
12.540000 983.879981 3888.07894 34.7696055 
12.560000 983.849492 3885.86956 34.7688619 
12.580000 983.819127 3883.66437 34.768196 
12.600000 983.788815 3881.46327 34.7674405 
12.620000 983.758503 3879.26632 34.7667214 
12.640000 983.728279 3877.0735 34.7660187 
12.660000 983.698006 3874.88488 34.7653041 
12.680000 983.667863 3872.70027 34.7645546 
12.700000 983.637691 3870.51979 34.7638415 
12.720000 983.607607 3868.34329 34.7631135 
12.740000 983.577527 3866.17086 34.7624329 
12.760000 983.547437 3864.00248 34.7616707 
12.780000 983.517468 3861.83809 34.7609145 
12.800000 983.487474 3859.67769 34.7601515 
12.820000 983.457543 3857.52126 34.7594139 
12.840000 983.427673 3855.3688 34.7586365 
12.860000 983.397779 3853.22029 34.7579116 
12.880000 983.367935 3851.07569 34.7571773 
12.900000 983.338167 3848.93501 34.7563973 
12.920000 983.308358 3846.79816 34.755662 
12.940000 983.278683 3844.66527 34.7549044 
12.960000 983.249032 3842.53624 34.7541682 
12.980000 983.219353 3840.41108 34.7533935 
13.000000 983.1897 3838.28974 34.7526253 
13.020000 983.160198 3836.17228 34.7518392 
13.040000 983.130609 3834.05861 34.7510802 
13.060000 983.101103 3831.94876 34.7503187 
13.080000 983.07162 3829.84268 34.749597 
13.100000 983.04222 3827.74036 34.7487998 
13.120000 983.012815 3825.64182 34.7480702 
13.140000 982.983436 3823.54704 34.7473587 
13.160000 982.954127 3821.45601 34.7465659 
13.180000 982.924871 3819.36867 34.7458028 
13.200000 982.895629 3817.28504 34.7450265 
13.220000 982.866404 3815.2051 34.7442339 
13.240000 982.837214 3813.12883 34.7434875 
13.260000 982.808086 3811.05626 34.7426877 
13.280000 982.778993 3808.98736 34.7419101 
13.300000 982.74992 3806.92204 34.741176 
13.320000 982.720864 3804.86037 34.7404245 
13.340000 982.691845 3802.80231 34.739637 
13.360000 982.662858 3800.74788 34.7388957 
13.380000 982.633848 3798.69696 34.7380874 
13.400000 982.604907 3796.64965 34.7373006 
13.420000 982.576107 3794.60595 34.7365102 
13.440000 982.547158 3792.56579 34.7357203 
13.460000 982.518425 3790.52913 34.7349469 
13.480000 982.489648 3788.49604 34.7341545 
13.500000 982.460845 3786.46639 34.7333479 
13.520000 982.432191 3784.44031 34.7326025 
13.540000 982.403431 3782.41771 34.7317919 
13.560000 982.374836 3780.39856 34.731013 
13.580000 982.346198 3778.38288 34.7302282 
13.600000 982.317703 3776.37065 34.7294816 
13.620000 982.289049 3774.36188 34.7286027 
13.640000 982.26054 3772.35657 34.727797 
13.660000 982.232077 3770.35468 34.7269992 
13.680000 982.203618 3768.35619 34.7262005 
13.700000 982.17527 3766.36109 34.7253919 
13.720000 982.146834 3764.3694 34.7245586 
13.740000 982.118514 3762.38114 34.7237675 
13.760000 982.090173 3760.39621 34.7229527 
13.780000 982.06189 3758.41465 34.7222198 
13.800000 982.033671 3756.43642 34.7214095 
13.820000 982.005456 3754.46158 34.720573 
13.840000 981.977212 3752.49005 34.7197808 
13.860000 981.949125 3750.52187 34.7189775 
13.880000 981.920911 3748.557 34.7181417 
13.900000 981.892874 3746.59542 34.7173335 
13.920000 981.864823 3744.63715 34.7165321 
13.940000 981.83679 3742.68217 34.7157081 
13.960000 981.808799 3740.73045 34.7149425 
13.980000 981.780841 3738.78198 34.7140879 
14.000000 981.752853 3736.83682 34.7132413 
14.020000 981.724981 3734.89487 34.7124206 
14.040000 981.697127 3732.95618 34.711588 
14.060000 981.669257 3731.02066 34.7107843 
14.080000 981.641419 3729.08844 34.7099195 
14.100000 981.613656 3727.15939 34.7091046 
