[1]t	 [2]j	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]M20	 [7]M02	 [8]M11	 [9]a	 [10]b	 [11]c	 [12]e	 [13]maxvor 
2.35 0 -0.957234 -0.499804 0.00486564 0.00565423 0.00628962 -1.74602e-05 0.109288 0.112161 0.106337 0.318067 -22.6455
2.35 1 0.95722 0.49981 0.00488776 0.00565445 0.0062892 1.74561e-05 0.109287 0.112158 0.106339 0.31792 22.6453
2.4 0 -0.956997 -0.499792 0.00497108 0.00568562 0.00631988 -1.59613e-05 0.10957 0.11243 0.106632 0.316986 -22.5117
2.4 1 0.956982 0.499797 0.00499405 0.00568583 0.00631946 1.60257e-05 0.109569 0.112427 0.106634 0.316841 22.5115
2.45 0 -0.956454 -0.499804 0.00505007 0.00571073 0.00634635 -1.34744e-05 0.109805 0.112664 0.106869 0.316608 -22.3797
2.45 1 0.9565 0.499822 0.00507122 0.0057131 0.00634564 1.30885e-05 0.109812 0.112658 0.106891 0.31585 22.3795
2.5 0 -0.956398 -0.499801 0.0051426 0.00574079 0.00638435 -7.33856e-06 0.110114 0.112999 0.107151 0.317535 -22.2494
2.5 1 0.956322 0.4998 0.00517953 0.0057409 0.0063819 8.56429e-06 0.110104 0.112978 0.107152 0.316976 22.2491
2.55 0 -0.956102 -0.49978 0.00523083 0.005772 0.00641248 -8.64426e-06 0.110383 0.113248 0.107442 0.316093 -22.1207
2.55 1 0.956087 0.499783 0.00525574 0.00577215 0.00641211 8.90134e-06 0.110382 0.113245 0.107443 0.315978 22.1205
2.6 0 -0.955683 -0.499809 0.00530787 0.00579453 0.00644591 -9.23085e-06 0.110637 0.113543 0.107651 0.317949 -21.9936
2.6 1 0.955607 0.499805 0.00534432 0.00579407 0.00644408 1.089e-05 0.110626 0.113528 0.107647 0.317683 21.9933
2.65 0 -0.955386 -0.499781 0.00543549 0.00582124 0.00647894 -9.45554e-06 0.110906 0.113834 0.107899 0.318675 -21.8678
2.65 1 0.955371 0.499784 0.00546119 0.00582129 0.00647867 9.82635e-06 0.110905 0.113832 0.107899 0.318608 21.8676
2.7 0 -0.955214 -0.499797 0.00555739 0.00585022 0.00651371 -5.25962e-06 0.111193 0.114138 0.108168 0.319174 -21.7435
2.7 1 0.955198 0.4998 0.00558334 0.00585021 0.0065135 5.67287e-06 0.111192 0.114136 0.108168 0.319135 21.7433
2.75 0 -0.954922 -0.499766 0.00567389 0.00587641 0.00654726 -3.88991e-06 0.111461 0.114431 0.10841 0.320109 -21.6208
2.75 1 0.954906 0.499769 0.00569985 0.00587632 0.00654713 4.33276e-06 0.111461 0.11443 0.108409 0.320105 21.6207
2.8 0 -0.954507 -0.499787 0.00577554 0.00590037 0.00657878 -8.76551e-06 0.11171 0.114707 0.10863 0.321175 -21.4997
2.8 1 0.954491 0.49979 0.00580149 0.00590021 0.00657874 9.22704e-06 0.111709 0.114707 0.108629 0.321211 21.4995
2.85 0 -0.954276 -0.499772 0.00591177 0.00592477 0.00661651 -8.2409e-06 0.111988 0.115036 0.108855 0.323382 -21.3804
2.85 1 0.954261 0.499771 0.00595358 0.00592323 0.00661799 1.10882e-05 0.111988 0.115049 0.10884 0.324085 21.3802
2.9 0 -0.954048 -0.499754 0.00601047 0.00595157 0.00665144 -8.8813e-06 0.112263 0.115339 0.109101 0.324426 -21.2621
2.9 1 0.954032 0.499756 0.00603615 0.00595123 0.00665157 9.32626e-06 0.112262 0.11534 0.109097 0.324538 21.262
2.95 0 -0.953637 -0.499744 0.00610102 0.00597722 0.00668102 -1.08174e-05 0.112509 0.115596 0.109335 0.324639 -21.1449
2.95 1 0.953743 0.499747 0.00615271 0.00597674 0.00668576 1.13989e-05 0.112528 0.115637 0.10933 0.325732 21.1447
3 0 -0.953717 -0.499801 0.0062603 0.00601166 0.00671845 -1.70453e-05 0.112828 0.115921 0.109647 0.324526 -21.0287
3 1 0.9537 0.499804 0.00628567 0.00601115 0.00671876 1.7404e-05 0.112827 0.115924 0.109642 0.324715 21.0286
3.05 0 -0.953188 -0.499806 0.00634165 0.00603776 0.00674292 -1.77259e-05 0.113052 0.116132 0.109885 0.323578 -20.9142
3.05 1 0.95311 0.499821 0.00636146 0.00603522 0.00674329 1.90335e-05 0.113042 0.116136 0.109861 0.324263 20.9141
3.1 0 -0.95284 -0.499805 0.00642991 0.00606149 0.00677658 -1.59259e-05 0.113305 0.116421 0.110101 0.324996 -20.801
3.1 1 0.952823 0.499809 0.0064549 0.00606085 0.00677702 1.61279e-05 0.113304 0.116425 0.110095 0.325235 20.8009
3.15 0 -0.952737 -0.499797 0.00652742 0.00609023 0.00681346 -1.66974e-05 0.113594 0.116738 0.110362 0.325969 -20.689
3.15 1 0.952597 0.499796 0.00657968 0.00608996 0.00680896 1.78516e-05 0.113573 0.1167 0.110359 0.325146 20.6888
3.2 0 -0.952454 -0.499748 0.00655567 0.0061187 0.00684404 -2.16155e-05 0.113854 0.117002 0.110617 0.325821 -20.5786
3.2 1 0.952374 0.49974 0.00658221 0.00611561 0.00684492 2.19659e-05 0.113844 0.117009 0.110589 0.326697 20.5785
