[1]t	 [2]j	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]M20	 [7]M02	 [8]M11	 [9]a	 [10]b	 [11]c	 [12]e 
0.75 2 -12.4354 1.92999 3.8223 0.199532 0.0749296 -0.0970504 0.523891 0.710714 0.209305 0.955652 
0.75 3 -0.626837 3.93828 0.278815 0.00346172 0.0104263 0.00257997 0.117847 0.150186 0.0722513 0.876677 
0.8 0 143.801 -0.135278 -1.49587 0.100608 0.109379 0.00173777 0.458243 0.468424 0.44783 0.293247 
0.8 1 115.302 0.503564 2.2713 0.0921624 0.100397 -2.30682e-05 0.438816 0.4481 0.42933 0.28639 
0.8 2 -11.7628 1.53871 4.06711 0.18643 0.0529141 -0.0739423 0.489228 0.662256 0.200261 0.953183 
0.8 3 -0.516993 3.92931 0.592699 0.00334315 0.0077527 0.00194339 0.105337 0.130284 0.0722345 0.832224 
0.85 0 143.729 0.0321777 -1.51109 0.102829 0.111287 -0.000214786 0.462727 0.47179 0.453483 0.275865 
0.85 1 115.734 0.235345 2.31766 0.0946126 0.103494 -0.00017202 0.445091 0.454966 0.434992 0.293043 
0.85 2 -10.9883 1.10805 4.27211 0.174185 0.0379724 -0.0552291 0.460605 0.622518 0.191798 0.951354 
0.85 3 -0.362585 3.9006 0.877071 0.00149401 0.00636331 0.00074937 0.0886415 0.113807 0.0525602 0.886965 
0.9 0 143.613 0.201653 -1.50713 0.105347 0.112615 -0.000744627 0.466864 0.474744 0.45885 0.256591 
0.9 1 115.296 -0.0323724 2.33264 0.0952093 0.105147 -0.00179396 0.447612 0.459262 0.43565 0.316519 
0.9 2 -10.5023 0.678159 4.42653 0.158391 0.0289178 -0.0396414 0.432791 0.582346 0.188387 0.946229 
0.9 3 -0.307103 3.82832 1.21034 0.00152584 0.00402875 3.06553e-05 0.0745291 0.0897678 0.0552352 0.788283 
0.95 0 143.571 0.368661 -1.48382 0.106563 0.115551 -0.00117508 0.471289 0.481044 0.461328 0.283355 
0.95 1 115.508 -0.299237 2.31885 0.0979151 0.10695 -0.00290674 0.452621 0.464338 0.440592 0.315693 
0.95 2 -10.2042 0.238215 4.53441 0.151468 0.0215479 -0.0232191 0.415952 0.557662 0.187205 0.94197 
0.95 3 -0.251965 3.75725 1.50731 0.00147332 0.00337101 0.000731706 0.0696012 0.0850925 0.0494765 0.813587 
1 0 143.524 0.532429 -1.43962 0.10894 0.117205 -0.00274168 0.475548 0.485865 0.465002 0.289887 
1 1 115.385 -0.558906 2.27506 0.100309 0.107699 -0.0037314 0.456079 0.467451 0.444416 0.310043 
1 2 -10.0333 -0.190593 4.59365 0.143176 0.0198593 -0.0128277 0.403776 0.537579 0.192557 0.933648 
1 3 -0.150264 3.60716 1.78389 0.00134598 0.00135714 0.000668759 0.0519916 0.0635664 0.0369534 0.813663 
1.05 0 143.474 0.690864 -1.37944 0.112173 0.117837 -0.00364269 0.479594 0.48912 0.469875 0.277753 
1.05 1 115.276 -0.81041 2.20641 0.102716 0.108419 -0.0044433 0.459494 0.470844 0.447857 0.308638 
1.05 2 -9.56552 -0.618779 4.61986 0.133186 0.0175916 -0.00340416 0.388301 0.516306 0.187037 0.932077 
1.05 3 -0.0988887 3.47656 2.0316 -0 0.00152576 -0 0.0390609 0.0552405 0 1 
1.1 0 115.245 -1.05199 2.1108 0.10482 0.109834 -0.00574566 0.463307 0.476646 0.449573 0.332221 
1.1 1 -9.5465 -1.02888 4.60156 0.121861 0.0192995 0.00269537 0.375713 0.493825 0.196106 0.917769 
1.1 2 143.525 0.8397 -1.30227 0.114529 0.119655 -0.00381589 0.483926 0.493333 0.474332 0.274859 
1.1 3 -0.048882 3.32031 2.30469 1.97215e-31 -0 -0 4.44089e-16 6.28037e-16 0 1 
1.15 0 115.124 -1.28033 1.99311 0.107768 0.109881 -0.00655138 0.466529 0.480542 0.452081 0.33904 
1.15 1 -9.01662 -1.43378 4.55308 0.114584 0.018275 0.00754824 0.364498 0.479941 0.18808 0.920016 
1.15 2 143.19 0.979444 -1.20932 0.116103 0.120907 -0.00464207 0.486837 0.497457 0.47598 0.290659 
1.2 0 -8.94782 -1.81875 4.47082 0.106043 0.0205789 0.0111134 0.355839 0.463604 0.195742 0.906494 
1.2 1 114.92 -1.494 1.8532 0.110726 0.109588 -0.00685033 0.469376 0.4838 0.454496 0.342742 
1.2 2 143.131 1.10793 -1.10405 0.119811 0.120804 -0.00527832 0.490526 0.501217 0.479596 0.290542 
1.25 0 -8.77109 -2.18562 4.37513 0.0945713 0.0227586 0.0137496 0.342535 0.440713 0.201078 0.889849 
1.25 1 114.688 -1.68979 1.69415 0.113255 0.109478 -0.0064038 0.471946 0.485886 0.457581 0.33633 
1.25 2 142.993 1.22631 -0.986731 0.122801 0.121237 -0.00515781 0.494003 0.504452 0.483327 0.286358 
1.3 0 114.974 -1.86979 1.51939 0.117264 0.110215 -0.00654453 0.476948 0.492287 0.4611 0.350271 
1.3 1 -8.82377 -2.5413 4.24815 0.0897817 0.0254272 0.0148235 0.339424 0.431351 0.210604 0.872709 
1.3 2 142.821 1.33074 -0.857445 0.125071 0.122183 -0.00499834 0.497247 0.507602 0.486671 0.284198 
1.35 0 114.445 -2.02939 1.32946 0.11933 0.109381 -0.00585984 0.478238 0.494049 0.461885 0.354918 
1.35 1 -8.69557 -2.87867 4.10592 0.081786 0.0278542 0.0158108 0.33112 0.41492 0.217075 0.852226 
1.35 2 142.647 1.4234 -0.718201 0.128245 0.122266 -0.00498329 0.500511 0.51199 0.488762 0.297786 
1.4 0 114.501 -2.16681 1.12694 0.122033 0.11028 -0.0050036 0.481989 0.497744 0.465701 0.352998 
1.4 1 -8.51839 -3.19394 3.95003 0.0771622 0.0285281 0.0152258 0.325101 0.403821 0.219794 0.8389 
1.4 2 142.467 1.50198 -0.571587 0.130507 0.123144 -0.00453216 0.503638 0.515101 0.491908 0.296693 
1.45 0 114.246 -2.28052 0.91441 0.12375 0.110724 -0.00344333 0.484226 0.499209 0.468765 0.343874 
1.45 1 -8.48971 -3.4986 3.78051 0.0700156 0.0314534 0.0139889 0.318542 0.386149 0.232005 0.799386 
1.45 2 142.604 1.56201 -0.418101 0.134019 0.123943 -0.00332324 0.5079 0.519647 0.495874 0.299 
1.5 0 114.891 -2.37401 0.695974 0.127854 0.112868 -0.00237547 0.490635 0.506403 0.474343 0.350156 
1.5 1 -9.02117 -3.78338 3.59672 0.074958 0.0358657 0.0160218 0.332902 0.40171 0.245513 0.791499 
1.5 2 142.597 1.60853 -0.259015 0.135593 0.125958 -0.00207587 0.51142 0.521576 0.501059 0.27772 
1.55 0 114.618 -2.44252 0.471827 0.129322 0.113457 -0.00120374 0.492727 0.508749 0.476165 0.352126 
1.55 1 -9.09363 -4.04177 3.40574 0.0692482 0.0401616 0.0154949 0.330771 0.389758 0.258666 0.748037 
1.55 2 142.585 1.63667 -0.0950739 0.138629 0.126615 -0.00135048 0.515019 0.526838 0.502922 0.297875 
1.6 0 114.384 -2.48533 0.246322 0.130725 0.114266 0.000679901 0.494965 0.511376 0.477991 0.355394 
1.6 1 -9.07566 -4.28546 3.21097 0.0623661 0.0452382 0.0153491 0.328031 0.377832 0.269168 0.701774 
1.6 2 142.432 1.64828 0.0696773 0.140382 0.12784 -0.000334114 0.517902 0.529889 0.50563 0.299111 
1.65 0 114.528 -2.50891 0.0199351 0.133173 0.115787 0.00164711 0.498959 0.516387 0.4809 0.364309 
1.65 1 -8.84155 -4.50995 3.00712 0.0576443 0.0458018 0.0129647 0.32163 0.363252 0.273753 0.657315 
1.65 2 142.244 1.64298 0.23497 0.142025 0.128983 0.00068186 0.520584 0.53303 0.507833 0.303823 
1.7 0 114.332 -2.50915 -0.204021 0.134371 0.11693 0.00349579 0.501299 0.519704 0.482193 0.373021 
1.7 1 -9.00908 -4.72074 2.81133 0.0566543 0.04963 0.0129219 0.326013 0.364782 0.281963 0.634452 
1.7 2 142.148 1.62129 0.398718 0.143152 0.130967 0.00187893 0.523563 0.535602 0.511241 0.29816 
1.75 0 114.013 -2.48854 -0.422081 0.134541 0.118339 0.00447328 0.502871 0.520949 0.484119 0.369318 
1.75 1 -8.90602 -4.90555 2.60444 0.0530315 0.0529524 0.0134426 0.325552 0.364512 0.281245 0.636151 
1.75 2 141.91 1.5817 0.559187 0.143596 0.132937 0.00335915 0.525865 0.537711 0.513745 0.295219 
1.8 0 113.979 -2.44778 -0.636716 0.13481 0.120932 0.00602736 0.50571 0.523569 0.487196 0.366219 
1.8 1 -8.81204 -5.0763 2.39297 0.0501869 0.0549885 0.0125493 0.324308 0.361565 0.282173 0.625254 
1.8 2 142.041 1.52819 0.713976 0.145439 0.1351 0.00360034 0.529659 0.541423 0.517628 0.293198 
1.85 0 113.808 -2.38788 -0.843915 0.134739 0.12323 0.00727459 0.507906 0.525851 0.489303 0.366298 
1.85 1 -8.75336 -5.23653 2.19107 0.0488755 0.0568164 0.0125266 0.325103 0.363281 0.281798 0.631098 
1.85 2 141.815 1.46127 0.864009 0.145875 0.137121 0.00495247 0.531974 0.544256 0.519401 0.298747 
