[1]t	 [2]j	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]M20	 [7]M02	 [8]M11	 [9]a	 [10]b	 [11]c	 [12]e 
0.6 4 -0.0550917 1.21094 3.16406 4.93038e-32 -0 -0 2.22045e-16 3.14018e-16 0 1 
0.6 5 -0.0562851 1.36719 3.24219 -0 -0 -0 -0 0 -0 -nan 
0.6 6 -16.3243 2.94793 2.78517 0.176291 0.181836 -0.148494 0.598437 0.809423 0.24716 0.952239 
0.65 0 146.543 -0.611355 -1.33453 0.0888419 0.0947434 0.000485485 0.428469 0.435392 0.421431 0.251198 
0.65 1 -0.334801 0.194978 -0.169048 0.0101244 0.00337184 -0.00505745 0.116173 0.160181 0.0365307 0.973647 
0.65 2 -1.24338 3.85007 -0.37138 0.00765528 0.0174295 0.00763295 0.158382 0.207874 0.0834143 0.915959 
0.65 3 118.179 1.2656 1.95962 0.0827924 0.0868852 0.00273091 0.411919 0.420122 0.40355 0.278097 
0.65 4 -15.0755 2.61219 3.2016 0.166006 0.128015 -0.120197 0.542237 0.733075 0.225039 0.951716 
0.7 0 146.951 -0.461622 -1.40052 0.094416 0.0937051 0.00268705 0.433729 0.439934 0.427434 0.236681 
0.7 1 -1.23114 3.91279 -0.0650378 0.00695614 0.0159823 0.00602972 0.151454 0.19494 0.0887422 0.890375 
0.7 2 118.426 1.01521 2.09955 0.0831075 0.0901569 0.00101081 0.41625 0.424968 0.407346 0.284981 
0.7 3 -14.1962 2.23261 3.5566 0.155695 0.0920512 -0.0972762 0.497741 0.672639 0.20748 0.951238 
0.75 0 147.004 -0.305502 -1.45309 0.0917904 0.0999959 0.00282467 0.437934 0.449164 0.426408 0.314259 
0.75 1 118.63 0.753837 2.21005 0.0858947 0.0906383 0.000621244 0.420158 0.425954 0.414282 0.232493 
0.75 2 -13.4951 1.82037 3.85432 0.13046 0.0632432 -0.0701979 0.440117 0.591067 0.195054 0.94398 
0.75 3 -1.27166 3.93574 0.239215 0.00822327 0.0159057 0.00680576 0.155335 0.199396 0.0921905 0.886698 
0.8 0 147.23 -0.143116 -1.4891 0.0946818 0.100774 -0.000748044 0.442104 0.449143 0.434951 0.249389 
0.8 1 118.716 0.483999 2.28713 0.0867561 0.0927102 0.000667871 0.423635 0.430776 0.41637 0.256449 
0.8 2 -12.891 1.37188 4.10248 0.112895 0.0455186 -0.0490139 0.398012 0.526653 0.198655 0.926131 
0.8 3 -1.21139 3.9422 0.560849 0.00758852 0.0146523 0.00568533 0.149134 0.188751 0.0940994 0.866869 
0.85 0 147.291 0.0239038 -1.5069 0.0970329 0.101671 0.00162918 0.445762 0.452075 0.439358 0.235517 
0.85 1 119.08 0.207636 2.33292 0.0877764 0.0954815 -0.000944112 0.428086 0.437254 0.418718 0.288072 
0.85 2 -12.6017 0.910979 4.28379 0.104586 0.0352458 -0.0356667 0.37394 0.489196 0.200874 0.911806 
0.85 3 -1.15651 3.90737 0.859735 0.00669936 0.0130463 0.00467707 0.140519 0.17621 0.0918778 0.853305 
0.9 0 147.309 0.195113 -1.50703 0.095411 0.106545 -8.23871e-05 0.449395 0.461618 0.43683 0.323281 
0.9 1 118.923 -0.0677405 2.34505 0.0892168 0.0959837 -0.00164967 0.430349 0.439009 0.421512 0.279507 
0.9 2 -12.1226 0.435351 4.40825 0.0922239 0.0268223 -0.019966 0.345031 0.442351 0.205956 0.884999 
0.9 3 -1.14184 3.83851 1.16696 0.00840193 0.0116963 0.00537517 0.141768 0.177037 0.0940982 0.847047 
0.95 0 147.513 0.366172 -1.48174 0.0999208 0.105437 -0.00332392 0.453164 0.462597 0.44353 0.284135 
0.95 1 118.95 -0.342717 2.32686 0.0911277 0.096474 -0.00153668 0.43313 0.440191 0.425952 0.252291 
0.95 2 -12.1659 -0.0413294 4.47285 0.0903508 0.0250409 -0.0116634 0.339693 0.429817 0.214572 0.866477 
0.95 3 -1.08192 3.74915 1.45499 0.00699926 0.009547 0.00252079 0.128632 0.14898 0.104391 0.71345 
1 0 147.761 0.531432 -1.43631 0.102295 0.106481 -0.000598003 0.456921 0.46166 0.452131 0.202126 
1 1 119.225 -0.610195 2.27684 0.0929721 0.0979133 -0.002321 0.436904 0.444595 0.429075 0.261911 
1 2 -12.0769 -0.514805 4.48473 0.0865769 0.0240238 -0.00199462 0.332567 0.41627 0.218908 0.85056 
1 3 -1.07184 3.63444 1.75561 0.00822724 0.00829465 0.00272951 0.128537 0.148261 0.105178 0.704794 
1.05 0 147.935 0.68855 -1.37175 0.101842 0.110386 -0.00218825 0.460683 0.470986 0.450143 0.294196 
1.05 1 119.417 -0.869697 2.19914 0.0950527 0.0987937 -0.00380735 0.44028 0.449812 0.430537 0.289591 
1.05 2 -11.9155 -0.983321 4.44701 0.0890096 0.0226672 0.00517724 0.334181 0.422874 0.211024 0.866588 
1.05 3 -0.952933 3.50286 2.02687 0.00826107 0.00623092 0.00217272 0.120383 0.138882 0.0984668 0.705214 
1.1 0 -0.0491269 -0.0390625 -1.83594 -0 -0 -0 -0 0 -0 -nan 
1.1 1 -0.0492051 -0.117188 -1.67969 1.92593e-34 -0 -0 1.38778e-17 1.96262e-17 0 1 
