[1]t	 [2]j	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]M20	 [7]M02	 [8]M11	 [9]a	 [10]b	 [11]c	 [12]e 
5.9 1 0.957826 -0.108513 0.487698 0.00521208 0.00574035 -0.00011544 0.104654 0.107373 0.101862 0.316248 
6 0 0.957476 0.122751 -0.485247 0.00523636 0.00574224 -0.000132081 0.104779 0.107468 0.102019 0.314369 
6 1 0.957306 -0.123303 0.484261 0.00523516 0.00573818 -0.000135062 0.104754 0.107444 0.101992 0.314509 
6.1 0 0.957375 0.137366 -0.481243 0.00525059 0.00576409 -0.000152935 0.104951 0.107761 0.102064 0.320845 
6.1 1 0.957212 -0.137925 0.480226 0.00525234 0.00575611 -0.000149804 0.104921 0.107678 0.10209 0.317969 
6.2 0 0.95684 0.151822 -0.476876 0.00527518 0.00576002 -0.000167588 0.105049 0.107817 0.102205 0.318446 
6.2 1 0.957224 -0.152462 0.475803 0.00527645 0.00577004 -0.000165235 0.105102 0.107891 0.102237 0.319466 
6.3 0 0.957232 0.166206 -0.472013 0.00530438 0.00578051 -0.000181766 0.105285 0.108092 0.1024 0.320221 
6.3 1 0.95701 -0.166738 0.47095 0.00530085 0.00577634 -0.000184723 0.105248 0.108071 0.102348 0.321112 
6.4 0 0.9572 0.180404 -0.466761 0.00533366 0.00578789 -0.000198934 0.105459 0.108284 0.102556 0.320931 
6.4 1 0.957038 -0.180934 0.465635 0.00532978 0.00578552 -0.000199629 0.105429 0.108264 0.102515 0.321535 
6.5 0 0.95689 -0.195033 0.459958 0.00535977 0.00578781 -0.000214809 0.105582 0.108416 0.10267 0.321234 
6.5 1 0.95674 0.194548 -0.461047 0.00536344 0.00578078 -0.0002141 0.105566 0.108361 0.102695 0.319131 
6.6 0 0.956598 -0.208961 0.453797 0.0053861 0.00578955 -0.000224953 0.105715 0.108536 0.102817 0.320312 
6.6 1 0.956745 0.208405 -0.454983 0.00539289 0.00578956 -0.000228722 0.105747 0.108572 0.102844 0.320514 
6.7 0 0.956741 -0.222577 0.447226 0.00542332 0.00579386 -0.000240901 0.105911 0.108743 0.103002 0.320626 
6.7 1 0.957078 0.222109 -0.448432 0.00542663 0.0058034 -0.000240626 0.105972 0.108817 0.103048 0.321296 
6.8 0 0.956822 -0.236046 0.440238 0.00545382 0.00580316 -0.000251761 0.106099 0.108949 0.10317 0.321342 
6.8 1 0.956972 0.235594 -0.441431 0.00545261 0.00581216 -0.000253825 0.106136 0.109027 0.103163 0.323524 
6.9 0 0.95617 -0.249327 0.432887 0.00546747 0.00580734 -0.000264645 0.106183 0.109105 0.103178 0.32509 
6.9 1 0.956513 0.248807 -0.434097 0.00547644 0.0058114 -0.000263483 0.106244 0.109143 0.103264 0.323783 
7 0 0.956575 -0.262325 0.425129 0.005516 0.00580761 -0.000275529 0.106412 0.109303 0.103441 0.323064 
7 1 0.956673 0.261883 -0.426344 0.00552053 0.00580858 -0.000273049 0.106438 0.1093 0.103497 0.321501 
7.1 0 0.956352 -0.275187 0.416957 0.0055473 0.00580735 -0.000292654 0.106558 0.109522 0.103509 0.326787 
7.1 1 0.956503 0.274745 -0.418174 0.00554802 0.00581418 -0.000288024 0.106594 0.10953 0.103574 0.325253 
7.2 0 0.956366 -0.287668 0.408376 0.0055861 0.00580463 -0.00029123 0.106727 0.109603 0.103772 0.321828 
7.2 1 0.955912 0.287197 -0.409651 0.0055766 0.00580403 -0.000294555 0.10668 0.1096 0.103678 0.324256 
7.3 0 0.955868 -0.299963 0.399441 0.0056145 0.0057977 -0.000301251 0.106828 0.109736 0.103839 0.323405 
7.3 1 0.956014 0.299575 -0.400721 0.00561469 0.00580644 -0.000304073 0.10687 0.109813 0.103844 0.325205 
7.4 0 0.956013 -0.311966 0.390157 0.00565795 0.00579607 -0.00031119 0.107023 0.109962 0.104002 0.32473 
7.4 1 0.956032 0.311547 -0.391384 0.00565831 0.00580095 -0.000313663 0.107048 0.110012 0.104 0.326059 
7.5 0 0.955661 -0.323703 0.380541 0.00567894 0.005801 -0.000313319 0.107144 0.110083 0.104123 0.324597 
7.5 1 0.955443 0.323311 -0.381867 0.00567729 0.0058009 -0.000317009 0.107136 0.11011 0.104078 0.32643 
7.6 0 0.956175 -0.335108 0.3705 0.00572979 0.0058035 -0.000321683 0.107393 0.110367 0.104335 0.326077 
7.6 1 0.955525 0.334725 -0.371888 0.00572313 0.00579501 -0.000322921 0.107323 0.110309 0.104251 0.326818 
7.7 0 0.955171 -0.346138 0.360137 0.00574678 0.0057917 -0.000323847 0.107417 0.110398 0.104351 0.326407 
7.7 1 0.955242 0.345811 -0.361442 0.00575556 0.00579084 -0.000325469 0.107454 0.110446 0.104377 0.326929 
