[1]t	 [2]j	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]M20	 [7]M02	 [8]M11	 [9]a	 [10]b	 [11]c	 [12]e	 [13]maxvor 
3.3 1 0.940956 0.269498 0.42114 0.00677482 0.00715769 0.000468677 0.118036 0.12225 0.113666 0.368104 18.7923
3.35 0 0.941217 -0.263873 -0.424905 0.00681989 0.00719877 0.000462797 0.1184 0.122551 0.114099 0.364945 18.6823
3.35 1 0.941112 0.263094 0.425247 0.00681705 0.00720454 0.000461381 0.118413 0.122566 0.114109 0.365026 18.6807
3.4 0 0.940997 -0.257354 -0.428793 0.00683545 0.00726053 0.000460186 0.118726 0.122922 0.114377 0.36632 18.5596
3.4 1 0.941009 0.256663 0.429153 0.00683791 0.00726531 0.000459585 0.118757 0.122951 0.11441 0.366213 18.5534
3.45 0 0.94053 -0.250837 -0.432642 0.00685364 0.00731037 0.000459207 0.119013 0.123247 0.114622 0.367496 18.4591
3.45 1 0.940359 0.250088 0.433038 0.00685343 0.00731109 0.000459327 0.119015 0.123251 0.114622 0.367596 18.4538
3.5 0 0.940136 -0.24428 -0.436475 0.00686209 0.00737222 0.000451676 0.119308 0.123579 0.114878 0.368597 18.3457
3.5 1 0.939966 0.243493 0.436864 0.00686754 0.00736759 0.00045748 0.119311 0.123603 0.114858 0.369455 18.336
3.55 0 0.939309 -0.237582 -0.440026 0.0068748 0.0074156 0.000462515 0.119542 0.123943 0.114973 0.373501 18.2487
3.55 1 0.939134 0.2368 0.440419 0.00687695 0.00741246 0.000454326 0.119538 0.123871 0.115042 0.370776 18.2407
3.6 0 0.939528 -0.230928 -0.443703 0.00691168 0.00746965 0.000449073 0.119922 0.124252 0.11543 0.370101 18.1403
3.6 1 0.938805 0.23012 0.444093 0.0069025 0.00745886 0.000452072 0.119839 0.124189 0.115325 0.371033 18.134
3.65 0 0.939139 -0.224165 -0.44709 0.00693123 0.00752034 0.000446385 0.120215 0.124584 0.11568 0.371251 18.0305
3.65 1 0.938777 0.223387 0.447427 0.00692247 0.00752352 0.000450659 0.120191 0.124617 0.115597 0.373527 18.03
3.7 0 0.939114 -0.217341 -0.4505 0.00695228 0.00758346 0.000441461 0.120564 0.124984 0.115976 0.37277 17.9265
3.7 1 0.938759 0.216495 0.450871 0.00694929 0.00758027 0.000443841 0.120539 0.124975 0.115933 0.373444 17.9216
3.75 0 0.938475 -0.210406 -0.453749 0.00697027 0.00762641 0.000440947 0.120817 0.125283 0.116179 0.374251 17.8167
3.75 1 0.938062 0.209619 0.45411 0.0069658 0.00762194 0.000441786 0.12078 0.125253 0.116134 0.37457 17.813
3.8 0 0.938037 -0.203537 -0.456908 0.00698167 0.00768313 0.000434014 0.121098 0.125622 0.116399 0.376087 17.7288
3.8 1 0.937989 0.202724 0.457265 0.00698841 0.00768153 0.000438258 0.12112 0.125648 0.116415 0.376247 17.7225
3.85 0 0.937764 -0.196531 -0.459895 0.00700273 0.00773693 0.000430963 0.121407 0.125984 0.116651 0.377719 17.617
3.85 1 0.937962 0.195714 0.460232 0.00700803 0.00774512 0.00042418 0.121463 0.126004 0.116745 0.376255 17.6103
3.9 0 0.937376 -0.189577 -0.462879 0.00701484 0.0077942 0.000417114 0.121692 0.126296 0.116908 0.378346 17.5233
3.9 1 0.936962 0.18874 0.463207 0.0070149 0.00778433 0.000417619 0.121652 0.126233 0.116891 0.377537 17.5174
3.95 0 0.937232 -0.182581 -0.46567 0.00705234 0.00783503 0.000416491 0.122014 0.126611 0.117236 0.377631 17.4348
3.95 1 0.936696 0.181599 0.465991 0.00703837 0.00783555 0.00041562 0.121959 0.126592 0.117142 0.379124 17.4239
4 0 0.936797 -0.175497 -0.468402 0.00705993 0.00789581 0.000405026 0.122294 0.126963 0.117438 0.380024 17.3337
4 1 0.936685 0.174583 0.468757 0.00705822 0.00790091 0.000410171 0.122308 0.127024 0.117401 0.381804 17.3238
4.05 0 0.936239 -0.168399 -0.471055 0.007075 0.00794427 0.000401266 0.122553 0.127288 0.117627 0.38215 17.2413
4.05 1 0.935938 0.167519 0.471332 0.00707547 0.00793818 0.000401218 0.12253 0.127247 0.117624 0.381485 17.238
4.1 0 0.936285 -0.161213 -0.473584 0.00709546 0.00801073 0.000389221 0.122907 0.127702 0.117918 0.383873 17.1462
4.1 1 0.935989 0.160296 0.473847 0.00709251 0.00800816 0.000385616 0.122885 0.127663 0.117913 0.383291 17.1461
4.15 0 0.935491 -0.154028 -0.47597 0.00711515 0.00804159 0.000372966 0.123113 0.127852 0.118183 0.381482 17.042
4.15 1 0.935195 0.153121 0.476276 0.00711084 0.00804134 0.000374264 0.123094 0.127853 0.118144 0.382247 17.042
4.2 0 0.935001 -0.146797 -0.478208 0.00713123 0.00809113 0.000367611 0.123379 0.128185 0.118378 0.383628 16.9499
4.2 1 0.934886 0.145896 0.478473 0.00713475 0.00808936 0.000368906 0.123386 0.128182 0.118396 0.383223 16.9504
4.25 0 0.935295 -0.139454 -0.4804 0.00715189 0.00816798 0.000354333 0.123773 0.12868 0.118664 0.386816 16.8676
4.25 1 0.934945 0.138577 0.480703 0.00714994 0.00816194 0.000352771 0.123741 0.128629 0.118652 0.386165 16.8655
4.3 0 0.93474 -0.13215 -0.482465 0.00717053 0.00821105 0.000342063 0.124022 0.128945 0.118896 0.387028 16.767
4.3 1 0.934695 0.131264 0.482706 0.00717082 0.00821612 0.000347884 0.124044 0.129006 0.118875 0.388459 16.7646
4.35 0 0.93437 -0.124814 -0.484325 0.00718971 0.00826195 0.000334195 0.124305 0.129287 0.119114 0.38882 16.6734
4.35 1 0.933468 0.123928 0.484613 0.0071766 0.00824525 0.00033544 0.124185 0.129165 0.118996 0.388921 16.6714
4.4 0 0.933991 -0.117414 -0.486244 0.00720416 0.00831732 0.000321061 0.124585 0.12964 0.119316 0.391058 16.5882
4.4 1 0.933588 0.116495 0.486545 0.0071987 0.00831266 0.000319176 0.124545 0.129597 0.119279 0.391009 16.5865
4.45 0 0.933198 -0.109987 -0.488043 0.0072265 0.00834483 0.000303521 0.124785 0.129784 0.119578 0.388703 16.5092
4.45 1 0.93292 0.109084 0.488297 0.00722347 0.00834326 0.000308792 0.124767 0.12979 0.119532 0.38965 16.508
4.5 0 0.933023 -0.102645 -0.489642 0.00724946 0.00839922 0.000291639 0.125095 0.130146 0.119831 0.39017 16.4177
4.5 1 0.932739 0.101669 0.489893 0.0072402 0.00840458 0.000295896 0.125079 0.130196 0.119744 0.392566 16.4135
4.55 0 0.932717 -0.0952461 -0.4911 0.00727148 0.00844898 0.000280748 0.125381 0.13048 0.120066 0.391469 16.3288
4.55 1 0.932247 0.094237 0.491384 0.00725756 0.00845118 0.000280692 0.125335 0.130491 0.119957 0.39361 16.3247
4.6 0 0.932843 -0.0876846 -0.492499 0.00729824 0.0085117 0.000263936 0.125738 0.130894 0.12036 0.393029 16.2435
4.6 1 0.932319 0.0867524 0.492757 0.00728969 0.0085051 0.000262866 0.125677 0.13084 0.120294 0.393332 16.2398
4.65 0 0.932667 -0.080217 -0.493778 0.00732569 0.00856051 0.000247479 0.12604 0.131212 0.120648 0.393117 16.1629
4.65 1 0.932143 0.079238 0.494036 0.00731133 0.00856095 0.000253097 0.125985 0.131227 0.120516 0.39571 16.1592
4.7 0 0.932253 -0.0727837 -0.494935 0.00734279 0.0086109 0.000230838 0.126308 0.131542 0.120848 0.394951 16.0854
4.7 1 0.931782 0.0718007 0.495172 0.00733533 0.00860544 0.000235264 0.126257 0.131511 0.120774 0.395764 16.0817
4.75 0 0.931467 -0.0652735 -0.495913 0.00736213 0.00864176 0.000209954 0.126507 0.131722 0.121067 0.394007 16.0098
4.75 1 0.931054 0.064311 0.496163 0.0073546 0.0086394 0.000221295 0.126467 0.13173 0.120976 0.39575 16.0054
4.8 0 0.931416 -0.057711 -0.4969 0.00737904 0.00870831 0.000191269 0.126836 0.132176 0.121261 0.39793 15.9265
4.8 1 0.931128 0.0567469 0.49717 0.00737566 0.008706 0.000193582 0.126814 0.132164 0.121228 0.398301 15.9201
4.85 0 0.931369 -0.0501123 -0.497737 0.00741262 0.00875579 0.000176704 0.127155 0.132504 0.121571 0.397758 15.8443
4.85 1 0.930901 0.0491557 0.497948 0.00740074 0.00875476 0.000170971 0.127104 0.132484 0.121487 0.398911 15.838
4.9 0 0.931021 -0.0425498 -0.49844 0.00743469 0.00880307 0.000157642 0.127427 0.132823 0.121793 0.398989 15.764
4.9 1 0.930611 0.041614 0.498608 0.00742532 0.00880154 0.000153254 0.127385 0.132804 0.121725 0.399858 15.7581
4.95 0 0.930369 -0.0349933 -0.499058 0.00744534 0.0088506 0.000140617 0.127656 0.133151 0.121913 0.402082 15.6861
4.95 1 0.930322 0.0340558 0.499139 0.00745216 0.00884617 0.000139857 0.127665 0.133117 0.121969 0.400591 15.6799
5 0 0.929654 -0.0274299 -0.499541 0.00746681 0.00888178 0.000125791 0.127862 0.133363 0.122112 0.402005 15.6082
5 1 0.929791 0.0264759 0.499639 0.00747342 0.0088861 0.000122736 0.127904 0.133392 0.122171 0.401455 15.6031
5.05 0 0.929307 -0.019848 -0.499843 0.00748972 0.00892781 0.000101157 0.128131 0.133678 0.122333 0.403159 15.5299
5.05 1 0.929074 0.01888 0.500039 0.00749082 0.00892231 0.000107009 0.128114 0.133643 0.122334 0.402589 15.5272
5.1 0 0.928713 -0.0122357 -0.500047 0.00751591 0.00895881 8.17432e-05 0.128354 0.133891 0.122567 0.402501 15.4525
5.1 1 0.929031 0.0112616 0.500183 0.00752195 0.00897245 7.67371e-05 0.12843 0.133989 0.122621 0.403101 15.4522
5.15 0 0.928672 -0.00459979 -0.500263 0.00753913 0.00901886 5.8911e-05 0.128678 0.134322 0.122775 0.405643 15.3762
5.15 1 0.928627 0.00366467 0.50042 0.00754166 0.00901967 5.16058e-05 0.128691 0.134324 0.122799 0.405255 15.3782
