t ekin epot bpot nu_top nu_bot nu_vol nu_eps nu_tmp nu_mix 
3.450000 8.04395323e-07 0.059156041 -0.0592457419 1.0032559 1.00002541 1.00122815 0.000359641709 1.00030043 1.00029934 
3.500000 8.49704127e-07 0.0591560596 -0.0591248363 1.0032281 1.00001527 1.00129649 0.000377293953 1.00031357 1.00030413 
3.550000 8.9766615e-07 0.0591560738 -0.0593626342 1.00320098 1.00000553 1.00136942 0.000395929898 1.00032748 1.00031354 
3.600000 9.48441154e-07 0.0591560834 -0.0591626194 1.00317446 0.999996543 1.001446 0.000415606037 1.00034222 1.00033141 
3.650000 1.00219857e-06 0.0591560882 -0.0591183069 1.00314854 0.999987996 1.00152675 0.000436382765 1.00035783 1.00035551 
3.700000 1.05911814e-06 0.059156088 -0.0593797461 1.00312329 0.999979609 1.00161308 0.000458318254 1.00037434 1.00036321 
3.750000 1.11939095e-06 0.0591560826 -0.0591140832 1.00309869 0.999971897 1.0017041 0.000481479679 1.00039181 1.00040379 
3.800000 1.18321956e-06 0.0591560718 -0.0593278696 1.00307465 0.999964766 1.00180082 0.000505938556 1.0004103 1.00039779 
3.850000 1.25081894e-06 0.0591560552 -0.0591512546 1.0030514 0.99995798 1.00190293 0.000531765971 1.00042985 1.00042337 
3.900000 1.32241749e-06 0.0591560327 -0.0590312866 1.00302877 0.999951707 1.00201127 0.000559038621 1.00045052 1.00043534 
3.950000 1.39825769e-06 0.059156004 -0.0592003427 1.00300674 0.999946093 1.002126 0.000587841084 1.00047239 1.0004659 
4.000000 1.47859676e-06 0.0591559687 -0.0595767645 1.00298542 0.999940897 1.00224759 0.000618259757 1.00049551 1.00049349 
4.050000 1.56370791e-06 0.0591559266 -0.0592604905 1.00296476 0.999936248 1.00237657 0.000650384076 1.00051995 1.00051722 
4.100000 1.65388138e-06 0.0591558773 -0.059661399 1.00294473 0.999932376 1.00251227 0.000684313693 1.00054579 1.00055606 
4.150000 1.74942513e-06 0.0591558204 -0.0591145763 1.00292526 0.999928895 1.00265731 0.000720153728 1.00057311 1.00057185 
4.200000 1.85066611e-06 0.0591557556 -0.0591569814 1.00290667 0.999926016 1.0028104 0.000758009313 1.00060198 1.00060085 
4.250000 1.95795185e-06 0.0591556825 -0.059257657 1.00288866 0.999923851 1.00297323 0.000797996312 1.0006325 1.00063233 
4.300000 2.07165125e-06 0.0591556006 -0.0594033041 1.00287125 0.999922751 1.00314501 0.000840239753 1.00066477 1.0006609 
4.350000 2.19215594e-06 0.0591555094 -0.0590552913 1.00285451 0.999922171 1.00332802 0.000884869552 1.00069887 1.00069585 
4.400000 2.31988191e-06 0.0591554085 -0.0595596345 1.00283861 0.999922357 1.00352169 0.000932017533 1.00073491 1.00072267 
