[1]t	 [2]tag	 [3]Atot	 [4]Gamma	 [5]mu_x	 [6]mu_y	 [7]mu_z	 [8]M20	 [9]M02	 [10]M11	 [11]a	 [12]b	 [13]c	 [14]e	 [15]maxvor 
7.35 1 0.061279296875 0.80144494505753 0.303392819932038 -0.395647308783711 2.82304924936137e-09 0.00395227438246682 0.00398494334757742 -6.05569017372785e-05 0.0890910642547514 0.0897923170744561 0.0883842477735078 0.176399815785031 21.2700821733982 
7.4 0 0.0625 0.809967837699355 -0.313257526763046 0.390981221668309 -1.20981653238452e-09 0.00400898654058748 0.00404020888814979 -6.43734068102699e-05 0.0897173084122416 0.090452606482502 0.0889759340383465 0.17995617833078 21.2379114852094 
7.4 1 0.062255859375 0.807816589276448 0.310271936292303 -0.390888726246838 1.33637635666363e-09 0.00398424312294212 0.00405096770879276 -7.85876784800247e-05 0.0896393375239626 0.0905867699144342 0.0886817838112153 0.204001419404816 21.1846333965161 
7.45 0 0.0625 0.808782188227998 0.315268130116212 -0.38656533951829 2.16283468104017e-09 0.00401574844742073 0.00404520953447296 -6.0447626724478e-05 0.0897828379028736 0.0904731516451795 0.0890871752564628 0.174366636546542 21.1605074837259 
7.45 1 0.0615234375 0.802931378152444 -0.319378211059681 0.386448629132294 1.61348412942046e-11 0.00394290718303705 0.00402017778391285 -8.73393951547709e-05 0.0892361191836013 0.0903000072892313 0.0881593932457828 0.216446772682088 21.2728742053507 
7.5 0 0.062744140625 0.810421308174532 -0.325938857045369 0.381448527040917 4.92446729037967e-10 0.00406095787887974 0.00401984078901657 -7.3257848756465e-05 0.0898932626390672 0.0907357395791813 0.0890428149757836 0.192269044047872 21.2261837509432 
7.5 1 0.061767578125 0.803625625600335 0.322002855430336 -0.38104821030232 8.36100829218809e-09 0.0039880179180997 0.00400973551797084 -9.88871142789073e-05 0.0894301595440293 0.0905357194538631 0.0883107602453545 0.22033387253998 21.1863920853339 
7.55 0 0.06298828125 0.812168165080169 -0.331167357460824 0.376586373237654 1.33150028275043e-09 0.00402014815958906 0.00409244553237227 -0.000133069817233559 0.0900699377814892 0.0915880910274548 0.0885257531222939 0.256425431866802 21.1560777289393 
7.55 1 0.0625 0.80827629851302 0.32756000505673 -0.375881406150814 8.75978087481661e-09 0.00402446741584418 0.00404305454416374 -6.57098205762536e-05 0.0898193852128143 0.0905552290779706 0.0890774629558572 0.179921063168425 21.082614432803 
7.6 0 0.062744140625 0.809115111173031 0.332591121465945 -0.371888063635385 8.83460519217147e-09 0.00403481643325853 0.0040588428093041 -4.36207061431392e-05 0.0899647666731962 0.0904662845397405 0.089460437326787 0.148705519333584 21.0761364635596 
