[1]t	 [2]tag	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]M20	 [7]M02	 [8]M11	 [9]a	 [10]b	 [11]c	 [12]e 
1 6 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1 7 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1 8 -2.62146 0.98554 -3.12166 0.101824 0.018908 0.0340686 0.347465 0.477549 0.115806 0.970151 
1 9 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1 10 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1 11 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1 12 -0.0349114 1.4256 -1.57095 0.000607852 0.0895282 -0.00456068 0.300227 0.423702 0.0273697 0.997911 
1 13 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1 14 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1 15 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1 16 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1 17 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1 18 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1 19 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1 20 -0.671373 3.62724 1.76347 0.00540906 0.00540386 0.00106108 0.103985 0.113732 0.0932242 0.572823 
1.05 0 135.165 0.717985 -1.386 0.0676388 0.0761643 -0.00433913 0.379214 0.394928 0.362819 0.394966 
1.05 1 0.136512 0.54076 -0.381549 0.0144518 0.00124009 0.00347066 0.125267 0.174974 0.0277074 0.987383 
1.05 2 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 3 111.287 -0.842202 2.19966 0.07273 0.0753785 -0.00235944 0.384849 0.391816 0.377753 0.265512 
1.05 4 -10.7069 -0.922025 4.4876 0.0783883 0.0224206 0.00220004 0.317504 0.396168 0.211349 0.845811 
1.05 5 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 6 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 7 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 8 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 9 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 10 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 11 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 12 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 13 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 14 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 15 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 16 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 17 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 18 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 19 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 20 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 21 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 22 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 23 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 24 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 25 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 26 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 27 -2.68227 1.58242 -2.98968 0.0657027 0.02378 0.0338335 0.299137 0.411198 0.099406 0.970339 
1.05 28 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 29 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 30 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 31 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 32 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 33 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 34 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 35 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 36 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 37 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 38 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 39 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 40 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 41 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 42 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 43 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 44 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 45 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 46 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 47 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 48 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 49 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 50 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 51 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 52 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 53 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 54 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 55 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 56 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 57 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 58 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 59 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 60 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 61 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 62 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 63 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 64 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 65 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 66 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.05 67 -0.565521 3.48361 2.03225 0.00546281 0.00376 0.000757421 0.0960355 0.107247 0.0833289 0.629523 
1.1 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.1 1 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.1 2 0.722644 0.0335827 -0.895549 0.00414784 0.0399707 0.0104457 0.210044 0.292554 0.0514676 0.984404 
1.1 3 -0.0640682 0.406029 -0.219071 0.00622186 0.0014906 0.00284202 0.0878206 0.122914 0.0178043 0.989453 
1.1 4 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.1 5 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.1 6 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.1 7 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.1 8 111.089 -1.08684 2.09766 0.0738065 0.0757238 -0.00262414 0.386692 0.39385 0.379398 0.268407 
1.1 9 -10.5739 -1.37172 4.41984 0.0765088 0.0238119 0.00839526 0.316734 0.394497 0.212164 0.843067 
1.1 10 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.1 11 134.923 0.859174 -1.29048 0.0730587 0.0704578 0.000795377 0.378836 0.382838 0.37479 0.203968 
1.1 12 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.1 13 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.1 14 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.1 15 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.1 16 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.1 17 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.1 18 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.1 19 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.1 20 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.1 21 -2.67289 2.13959 -2.72363 0.0399542 0.0239306 0.0269987 0.252754 0.346712 0.0869489 0.968044 
1.1 22 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.1 23 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.1 24 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.1 25 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.1 26 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.1 27 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.1 28 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.1 29 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.1 30 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.1 31 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.1 32 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.1 33 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.1 34 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.1 35 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.1 36 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.1 37 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.1 38 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.1 39 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.1 40 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.1 41 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
